⿰	∎	lr	IDS
# 使K ['吏t']
# 侀 ['刑']
# 侁 ['先']
# 侂. ['㡯.']
# 侂J ['㡯s']
# 侃 ['𫶧']
# 侄 ['至']
# 侅. ['亥']
# 侅J ['亥s']
# 侅V ['亥V']
# 侇 ['夷']
# 侈 ['多']
# 侉 ['夸']
# 侊 ['光']
# 例 ['列']
# 侌. ['今.']
# 侌T ['今H']
# 侍. ['寺.']
# 侍T ['寺T']
# 侎. ['米.']
# 侎T ['米d']
# 侏 ['朱']
# 侐 ['血']
# 侑. ['有.']
# 侑T ['有p']
# 侒. ['安.']
# 侒J ['安s']
# 侓 ['聿']
# 侔 ['牟']
# 侕 ['而']
# 侖 ['亼.', '𠕁']
# 侗 ['同']
# 侘. ['宅.']
# 侘J ['宅s']
# 侙 ['式']
# 侚 ['旬']
# 供 ['共']
# 侜. ['舟.']
# 侜K ['舟s']
# 依. ['衣.']
# 依J ['衣s']
# 侞 ['如']
# 侟 ['存']
# 侠 ['夹']
# 価 ['覀']
# 侤. ['考.']
# 侤K ['考p']
# 侥 ['尧']
# 侦 ['贞']
# 侧 ['则']
# 侨 ['乔']
# 侪 ['齐']
# 侫. ['妄.']
# 侫H ['妄H']
# 侫J ['妄J']
# 侬 ['农']
# 侭 ['尽']
# 侮. ['每']
# 侮J ['毎']
# 侯. ['矢.']
# 侯H ['矢d']
# 侰 ['君']
# 侱. ['呈.']
# 侱T ['呈p']
# 侲 ['辰']
# 侳 ['坐']
# 侴. ['亼', '丑.t']
# 侴H ['亼']
# 侵 ['𠬶']
# 侷 ['局']
# 侸 ['豆']
# 侹. ['廷.']
# 侹H ['廷H']
# 侹J ['廷t']
# 侺. ['岑.']
# 侺H ['岑h']
# 侻. ['兑']
# 侻T ['兌n']
# 侻J ['兌t']
# 侼 ['孛.']
# 侽 ['男']
# 侾 ['孝.']
# 便. ['更.']
# 便K ['更t']
# 俀. ['妥.']
# 俀J ['妥p']
# 俁 ['吳']
# 係. ['系']
# 係J ['系s']
# 係V ['系h']
# 促 ['足']
# 俄 ['我']
# 俅 ['求']
# 俆 ['余']
# 俇 ['狂']
# 俈. ['告']
# 俈H ['吿']
# 俉 ['吾']
# 俊. ['夋']
# 俊H ['夋w']
# 俊J ['夋g']
# 俋 ['邑']
# 俌 ['甫.']
# 俍. ['良']
# 俍J ['良s']
# 俎 ['仌d', '且']
# 俏. ['肖']
# 俏T ['肖T']
# 俏J ['肖p']
# 俐 ['利']
# 俑 ['甬.']
# 俒. ['完.']
# 俒J ['完s']
# 俓 ['巠']
# 俔 ['見']
# 俕. ['宋.']
# 俕K ['宋s']
# 俗 ['谷']
# 俘. ['孚.']
# 俘J ['孚p']
# 俙 ['希']
# 俚 ['里']
# 俜 ['甹']
# 保. ['呆.']
# 保T ['呆d']
# 俞. ['亼', '刖s']
# 俞T ['亼', '刖.']
# 俟. ['矣.']
# 俟H ['矣d']
# 俠 ['夾']
# 信. ['言.']
# 信J ['言h']
# 信V ['言s']
# 俢. ['夂', '彡']
# 俢T ['㣊']
# 俣 ['吴']
# 俤 ['弟']
# 俥 ['車']
# 俦 ['寿']
# 俧 ['志']
# 俩 ['两']
# 俫 ['来.']
# 俬 ['私']
# 俭 ['佥']
# 修. ['夂', '彡']
# 修H ['㣊']
# 俯. ['府.']
# 俯J ['府s']
# 俰 ['和']
# 俱 ['具']
# 俲. ['効.']
# 俲J ['効s']
# 俳. ['非.']
# 俳H ['非p']
# 俴 ['戔']
# 俵 ['表']
# 俶 ['叔']
# 俷. ['肥.']
# 俷H ['肥T']
# 俸 ['奉']
# 俹 ['亞']
# 俺. ['奄.']
# 俺T ['奄w']
# 俻 ['备']
# 俼. ['育.']
# 俼T ['育T']
# 俼J ['育s']
# 俽 ['欣']
# 俾 ['卑.']
# 俿. ['虎.']
# 俿T ['虎T']
# 俿J ['虎J']
# 倀 ['長']
# 倁 ['知']
# 倂. ['幷.']
# 倂J ['幷K']
# 倂V ['幷V']
# 倃. ['咎.']
# 倃H ['咎p']
# 倄. ['肴.']
# 倄T ['肴T']
# 倅J ['卒s']
# 倆. ['兩.']
# 倆H ['兩t']
# 倇. ['宛.']
# 倇J ['宛s']
# 倉. ['亽', '尸']
# 倉H ['亼', '尸']
# 倊. ['忩.']
# 倊T ['忩t']
# 倌. ['官.']
# 倌J ['官s']
# 倍 ['咅']
# 倎 ['典']
# 倏. ['夂', '犬d']
# 倏H ['攵', '犬d']
# 倏J ['夂', '犬.']
# 倐. ['夂', '火d']
# 倐T ['夂', '火.']
# 們 ['門']
# 倒 ['到']
# 倓 ['炎']
# 倔 ['屈']
# 倕. ['垂.']
# 倕H ['垂T']
# 倖 ['幸']
# 倗. ['朋.']
# 倗J ['朋d']
# 倘. ['尚.']
# 倘J ['尚p']
# 候. ['矢.']
# 候H ['矢d']
# 倚 ['奇']
# 倛 ['其']
# 倜. ['周.']
# 倝 ['𠦝', '人']
# 倞. ['京.']
# 倞J ['京s']
# 借 ['昔']
# 倠. ['隹.']
# 倠K ['隹p']
# 倡 ['昌']
# 倢 ['疌']
# 倣. ['放.']
# 倣J ['放s']
# 値. ['直.']
# 値V ['直p']
# 倥. ['空.']
# 倥H ['空w']
# 倥J ['空s']
# 倦. ['巻']
# 倦J ['卷']
# 倧. ['宗.']
# 倧T ['宗T']
# 倧J ['宗J']
# 倨 ['居']
# 倩. ['青.']
# 倩T ['青T']
# 倩J ['靑']
# 倪 ['兒']
# 倫 ['侖']
# 倬 ['卓']
# 倭 ['委']
# 倮 ['果']
# 倯. ['松.']
# 倯T ['松t']
# 倰. ['夌.']
# 倰H ['夌H']
# 倰T ['夌T']
# 倰J ['夌J']
# 倱. ['昆.']
# 倱H ['昆h']
# 倲 ['東']
# 倳 ['事']
# 倴 ['奔']
# 倵 ['武']
# 倶 ['具J']
# 倷. ['奈.']
# 倷T ['奈T']
# 倸 ['采']
# 倹. ['㑒.']
# 倹T ['㑒d']
# 债 ['责']
# 倻 ['耶']
# 值 ['直']
# 倽 ['舍']
# 倾 ['顷']
# 倿 ['妾']
# 偀. ['英.']
# 偀H ['英T']
# 偁. ['爯.']
# 偁T ['爯J']
# 偂. ['前']
# 偂T ['前T']
# 偂J ['前n']
# 偃. ['匽.']
# 偃H ['匽H']
# 偄. ['耎.']
# 偄T ['耎n']
# 偅 ['重']
# 偆 ['春']
# 假 ['叚']
# 偈. ['曷.']
# 偈H ['曷w']
# 偉 ['韋']
# 偊 ['禹']
# 偋 ['屏']
# 偌. ['若.']
# 偌H ['若T']
# 偍 ['是']
# 偎 ['畏']
# 偏. ['扁.']
# 偏T ['扁T']
# 偏J ['扁h']
# 偏V ['扁V']
# 偐. ['彦.']
# 偐J ['彥s']
# 偑. ['風.']
# 偑H ['風H']
# 偒 ['昜']
# 偓 ['屋']
# 偕. ['皆.']
# 偕H ['皆h']
# 偖. ['者.']
# 偖J ['者d']
# 偗. ['省.']
# 偗H ['省g']
# 偙. ['帝.']
# 偙J ['帝s']
# 做 ['故']
# 偛. ['臿.']
# 偛H ['臿h']
# 停J ['亭s']
# 偝. ['背.']
# 偝H ['背H']
# 偝T ['背T']
# 偞 ['枼']
# 偟 ['皇']
# 偠. ['要']
# 偠J ['襾', '女']
# 偡. ['甚.']
# 偡H ['甚H']
# 偡K ['甚K']
# 偢 ['秋']
# 偣. ['音.']
# 偣J ['音s']
# 偤. ['酋.']
# 偤K ['酋K']
# 健. ['建.']
# 健K ['建K']
# 偦. ['胥.']
# 偦T ['胥T']
# 偧 ['奓']
# 偨. ['柴.']
# 偨T ['柴hn']
# 偩. ['負.']
# 偩K ['負g']
# 偪 ['畐']
# 偫. ['待.']
# 偫T ['待T']
# 偬 ['怱']
# 偭 ['面']
# 偮 ['咠']
# 偯. ['哀']
# 偯K ['哀s']
# 偰. ['契.']
# 偰H ['契H']
# 偰T ['契T']
# 偰J ['丯', '大.']
# 偰K ['契K']
# 偱 ['盾']
# 偲 ['思']
# 偳 ['耑']
# 側 ['則']
# 偵 ['貞']
# 偶 ['禺']
# 偷. ['俞.']
# 偷T ['俞T']
# 偸. ['兪.']
# 偸T ['兪T']
# 偸J ['兪J']
# 偹 ['备']
# 偺. ['昝.']
# 偺T ['昝T']
# 偻. ['娄.']
# 偻T ['娄T']
# 偼. ['彐.', '龰']
# 偼T ['龰']
# 偽 ['為']
# 偾 ['贲']
# 偿 ['尝']
# 傀. ['鬼.']
# 傀H ['鬼H']
# 傁. ['叟.']
# 傁H ['叟H']
# 傁T ['叟T']
# 傂. ['虒.']
# 傂H ['虒H']
# 傂K ['虒J']
# 傃. ['素.']
# 傃J ['素J']
# 傄 ['眘']
# 傅. ['尃.']
# 傅H ['尃H']
# 傆 ['原']
# 傇. ['茸.']
# 傇H ['茸T']
# 傈. ['栗.']
# 傈T ['栗T']
# 傉. ['辱.']
# 傉T ['辱T']
# 傊 ['員']
# 傋 ['冓']
# 傌 ['馬']
# 傍. ['旁.']
# 傍J ['旁s']
# 傎. ['真']
# 傎J ['眞']
# 傏. ['唐.']
# 傏J ['唐J']
# 傐. ['高.']
# 傐J ['高J']
# 傑 ['桀']
# 傒. ['奚.']
# 傒H ['奚..d']
# 傒J ['奚pdd']
# 傓. ['扇.']
# 傓T ['扇T']
# 傓J ['扇K']
# 傔. ['兼.']
# 傔J ['兼pp']
# 傕. ['隺.']
# 傕J ['隺p']
# 傖. ['倉.']
# 傖H ['倉h']
# 傗 ['畜']
# 傘. ['个', '从', '丛']
# 傘V ['个', '㸚']
# 備. ['𤰇.']
# 備T ['𤰇T']
# 備J ['用s']
# 傚. ['效.']
# 傚J ['效J']
# 傛. ['容.']
# 傛J ['容J']
# 傜. ['䍃.']
# 傜H ['䍃J']
# 傜T ['䍃T']
# 傝. ['𦐇.']
# 傝T ['𦐇T']
# 傝K ['𦐇zp']
# 傞. ['差.']
# 傞H ['差H']
# 傟. ['翁.']
# 傟T ['翁T']
# 傟J ['翁K']
# 傠. ['討.']
# 傠J ['討J']
# 傡. ['竝.']
# 傡J ['竝J']
# 傢. ['家.']
# 傢J ['家J']
# 傣 ['泰']
# 傤 ['载']
# 傥 ['党']
# 傦. ['骨.']
# 傦H ['骨H']
# 傦T ['骨T']
# 傧 ['宾']
# 储 ['诸']
# 傩 ['难']
# 傪 ['參']
# 傫 ['累']
# 催. ['崔.']
# 催J ['崔J']
# 傭. ['庸.']
# 傭T ['庸T']
# 傭J ['庸J']
# 傮 ['曹']
# 傯. ['悤.']
# 傯T ['心']
# 傯J ['悤J']
# 傰. ['崩']
# 傰J ['崩dd']
# 傱 ['從']
# 傲. ['敖.']
# 傲H ['敖H']
# 傲J ['敖J']
# 傳 ['專']
# 傴H ['區H']
# 債 ['責']
# 傶 ['戚']
# 傷 ['𬀷']
# 傸 ['爽']
# 傹. ['竟.']
# 傹J ['竟J']
# 傺. ['祭.']
# 傺T ['祭T']
# 傻. ['𡕩.']
# 傻H ['𡕩T']
# 傻J ['𡕩g.']
# 傼. ['𦰩z.']
# 傼H ['𦰩zd']
# 傽. ['章.']
# 傽J ['章J']
# 傾. ['頃.']
# 傾J ['頃J']
# 傿 ['焉']
# 僀. ['帶.']
# 僀T ['帶H']
# 僁. ['悉.']
# 僁H ['悉H']
# 僂 ['婁']
# 僃. ['𤰈c']
# 僃T ['𤰈.']
# 僄. ['票.']
# 僄T ['票T']
# 僅 ['堇']
# 僆. ['連.']
# 僆H ['連H']
# 僆K ['連K']
# 僇. ['翏.']
# 僇H ['翏H']
# 僇J ['翏J']
# 僈. ['曼.']
# 僈H ['曼H']
# 僉 ['亼n']
# 僊. ['䙴.h']
# 僊H ['䙴']
# 僋. ['貪.']
# 僋H ['貪H']
# 僌 ['𨊴']
# 働 ['動']
# 僎. ['巽.']
# 僎H ['巽H']
# 僎T ['巽t.']
# 像. ['象.']
# 像H ['象H']
# 僐. ['善.']
# 僐H ['善H']
# 僑 ['喬']
# 僒. ['窘']
# 僒T ['窘H']
# 僓 ['貴']
# 僔. ['尊.']
# 僔J ['尊K']
# 僕. ['菐.']
# 僕H ['菐T']
# 僖 ['喜']
# 僗 ['勞']
# 僘. ['敞.']
# 僘J ['敞J']
# 僙. ['黄']
# 僙H ['黃.']
# 僙T ['黃T']
# 僚 ['尞']
# 僛 ['欺']
# 僜 ['登']
# 僝 ['孱']
# 僞. ['爲.']
# 僞J ['爲J']
# 僟 ['幾']
# 僠. ['番.']
# 僠H ['番H']
# 僡 ['惠']
# 僢 ['舜']
# 僣. ['替.']
# 僣H ['替H']
# 僤 ['單']
# 僥 ['堯']
# 僦. ['就.']
# 僦J ['就J']
# 僧. ['曾.']
# 僧J ['曽']
# 僧K ['曾J']
# 僨 ['賁']
# 僩. ['閒.']
# 僩H ['閒H']
# 僪. ['矞.']
# 僪H ['矞H']
# 僫 ['惡']
# 僬. ['焦.']
# 僬K ['焦J']
# 僭. ['朁.']
# 僭H ['朁H']
# 僭J ['朁J']
# 僮. ['童.']
# 僮J ['童J']
# 僯. ['粦.']
# 僯H ['粦H']
# 僰 ['棘d.', '人']
# 僱. ['雇.']
# 僱T ['雇T']
# 僱J ['雇K']
# 僲 ['覀', '舛']
# 僳. ['粟.']
# 僳T ['粟T']
# 僴 ['間']
# 僵 ['畺']
# 僶. ['黽.']
# 僶H ['黽H']
# 僷. ['葉']
# 僷T ['葉H']
# 僸. ['禁.']
# 僸H ['禁H']
# 僸T ['禁T']
# 價 ['賈']
# 僺. ['喿.']
# 僺T ['喿T']
# 僻. ['辟.']
# 僻T ['辟T']
# 僼 ['豊']
# 僽. ['愁.']
# 僽H ['愁H']
# 僾. ['愛.']
# 僾T ['愛T']
# 僿. ['塞.']
# 僿K ['塞J']
# 儀 ['義']
# 儁. ['雋.']
# 儁J ['雋J']
# 儂 ['農']
# 儃. ['亶.']
# 儃J ['亶J']
# 億. ['意.']
# 億J ['意J']
# 儅 ['當']
# 儆. ['敬.']
# 儆H ['敬H']
# 儇 ['睘']
# 儈 ['會']
# 儉 ['僉']
# 儊 ['楚']
# 儋. ['詹.']
# 儋H ['詹H']
# 儋J ['詹J']
# 儌. ['敫.']
# 儌J ['敫J']
# 儍. ['𡕰.']
# 儍H ['𡕰w.']
# 儍T ['𡕰wx']
# 儍J ['𡕰g.']
# 儎 ['載']
# 儏. ['粲.']
# 儏T ['粲T']
# 儐. ['賓.']
# 儐J ['賓J']
# 儑. ['㬎.']
# 儑K ['㬎J']
# 儒. ['需.']
# 儒H ['需H']
# 儓 ['臺']
# 儔 ['壽']
# 儕. ['齊.']
# 儕H ['齊H']
# 儕J ['齊J']
# 儖. ['監.']
# 儖T ['監H']
# 儗. ['疑.']
# 儗H ['疑H']
# 儘 ['盡']
# 儙. ['遣.']
# 儙T ['遣T']
# 儙J ['遣K']
# 儚. ['夢.']
# 儚H ['夢H']
# 儛 ['舞']
# 儜. ['寧.']
# 儜J ['寧J']
# 儝. ['榮.']
# 儝T ['榮T']
# 儞 ['爾']
# 償 ['賞']
# 儠. ['巤.']
# 儠H ['巤T']
# 儠T ['巤oh']
# 儡 ['畾']
# 儢. ['慮.']
# 儢H ['慮H']
# 儣. ['廣.']
# 儣T ['廣T']
# 儣J ['廣J']
# 儤 ['暴']
# 儥. ['賣']
# 儥H ['𧶠']
# 儦. ['麃.']
# 儦H ['麃H']
# 儦K ['麃J']
# 儧. ['賛.']
# 儧T ['賛H']
# 儨 ['質']
# 儩 ['賜']
# 優. ['憂.']
# 優T ['憂T']
# 儫. ['豪.']
# 儫K ['豪J']
# 儬. ['靚.']
# 儬T ['靚T']
# 儬J ['靚J']
# 儭. ['親.']
# 儭H ['親H']
# 儭J ['親J']
# 儮. ['歷.']
# 儮H ['歷H']
# 儯. ['駦.']
# 儯J ['駦K']
# 儰. ['蔿.']
# 儰H ['蒍H']
# 儰K ['蔿J']
# 儱. ['龍.']
# 儱T ['龍T']
# 儱J ['龍J']
# 儲. ['諸.']
# 儲J ['諸K']
# 儳. ['毚.']
# 儳H ['毚H']
# 儴. ['襄.']
# 儴J ['襄J']
# 儵. ['夂', '黑']
# 儵H ['攵', '黑']
# 儶. ['巂.']
# 儶T ['巂H']
# 儶K ['巂pw']
# 儷. ['麗.']
# 儷H ['麗H']
# 儷T ['麗T']
# 儷J ['麗J']
# 儸. ['羅.']
# 儸J ['羅J']
# 儹 ['贊']
# 儺. ['難.']
# 儺J ['難J']
# 儻 ['黨']
# 儼. ['嚴.']
# 儼H ['嚴H']
# 儽. ['纍.']
# 儽J ['纍K']
# 儾 ['囊']
# 兀 ['儿']
# 允 ['儿']
# 兂. ['𠂇']
# 元 ['兀']
# 兄 ['儿']
# 充. ['𠫓.', '儿']
# 充T ['𠫓d', '儿']
# 充J ['𠫓J', '儿']
# 兇 ['凶', '儿']
# 先. ['𠂒', '儿']
# 先t ['𠂒']
# 光 ['兀']
# 兊. ['允']
# 兊T ['允']
# 兊d ['允']
# 克. ['兄.']
# 克t ['兄t']
# 兌. ['兄']
# 兌T ['兄']
# 兌J ['兄']
# 免J ['𫩏', '儿']
# 兎K ['儿']
# 兏 ['𠂆', '𠑷']
# 児 ['旧', '儿']
# 兑 ['兄']
# 兒 ['臼', '儿']
# 兓. ['旡t', '旡.']
# 兓T ['兂t', '兂.']
# 兓J ['旡.', '旡.']
# 兔V ['𫩏', '儿']
# 兕 ['儿']
# 兖. ['兊d']
# 兖K ['兊d']
# 兗. ['兌T']
# 兗J ['兌J']
# 兘 ['元']
# 兙 ['克.']
# 党 ['龸', '兄']
# 兛 ['克.']
# 兜. ['白', '儿']
# 兜H ['白', '儿']
# 兝. ['克.']
# 兝T ['克.', '分t']
# 兞 ['克.', '毛']
# 兟 ['先t', '先.']
# 兠. ['白', '儿']
# 兠H ['白', '儿']
# 兠T ['白', '儿']
# 兡 ['克.', '百']
# 兢 ['克t', '克.']
# 兣 ['克.', '厘']
# 兤. ['光.', '廣.']
# 兤T ['光.', '廣T']
# 兤J ['光.', '廣J']
# 內. ['入', '冂.']
# 內H ['入', '冂H']
# 全. ['王']
# 全H ['王']
# 兩. ['𠓜.']
# 兩H ['𠓜T']
# 兪. ['𠓛.', '月s', '巜']
# 兪H ['亼.', '月s', '巜']
# 兪T ['亼.', '月.', '巜']
# 兪J ['𠓛T', '巜']
# 兪K ['𠓛T', '月s', '巜']
# 公. ['八', '厶.']
# 公T ['八', '厶T']
# 兮T ['八J']
# 共 ['龷']
# 兲. ['王']
# 兲T ['王', '八t']
# 关. ['天.']
# 关T ['八t', '天.']
# 兴 ['𭕄']
# 其 ['龷']
# 具. ['𠀃']
# 具J ['目']
# 典 ['𠀇']
# 兹 ['䒑', '𢆶.']
# 兺. ['匕']
# 兺K ['分K', '匕']
# 养. ['䒑', '夫']
# 养J ['𦍌']
# 兼. ['䒑']
# 兼K ['八t']
# 兽 ['𬎿', '𠮛']
# 兾. ['異']
# 兾T ['八t', '異']
# 兿 ['䒑', '执']
# 冀. ['異']
# 冀H ['異']
# 冁 ['单', '展']
# 内 ['人', '冂d']
# 冇. ['𠂇']
# 冇T ['𠂇']
# 冈 ['㐅']
# 冎T ['𭁟']
# 冐. ['冃z', '月s']
# 冐T ['日', '月.']
# 冑. ['由', '冃.']
# 冑T ['由', '冃z']
# 冓 ['𠀎', '冉']
# 冔. ['冃z', '吁']
# 冔V ['冃.', '吁']
# 冕. ['冃z']
# 冕V ['冃.', '免J']
# 冗 ['几.']
# 冚 ['山']
# 军 ['车']
# 农 ['𧘇']
# 冝 ['且']
# 冞. ['米.']
# 冞T ['米d']
# 冟. ['皀.']
# 冟T ['皀T']
# 冠 ['㝴']
# 冡 ['豕']
# 冢 ['豖']
# 冣 ['取']
# 冤V ['兔V']
# 冥. ['昗.']
# 冥J ['昗s']
# 冦 ['元', '攴d']
# 冧 ['林']
# 冨 ['畐']
# 冩 ['舄']
# 冪. ['幕.']
# 冪H ['幕H']
# 冬. ['夂']
# 冬K ['夂']
# 冭. ['大']
# 冭T ['大']
# 冮 ['工']
# 冯 ['马']
# 冰 ['水']
# 冱 ['互']
# 决. ['夬.']
# 决H ['夬d']
# 冴 ['牙']
# 况 ['兄']
# 冷. ['令.']
# 冷H ['令H']
# 冷J ['令J']
# 冹. ['犮.']
# 冹H ['犮H']
# 冺 ['民']
# 冼 ['先']
# 冽 ['列']
# 冾 ['合']
# 冿 ['聿']
# 凁 ['束.']
# 凃 ['余']
# 凄 ['妻']
# 准. ['隹.']
# 准J ['隹J']
# 凇. ['松.']
# 凇T ['松T']
# 凈. ['爭.']
# 凈J ['爭J']
# 凉. ['京.']
# 凉J ['京J']
# 凊. ['青.']
# 凊T ['青T']
# 凊J ['靑']
# 凋. ['周.']
# 凌. ['夌.']
# 凌H ['夌H']
# 凌T ['夌T']
# 凌J ['夌J']
# 凍 ['東']
# 凎 ['金']
# 减 ['咸']
# 凐. ['垔.']
# 凐H ['垔H']
# 凑. ['奏.']
# 凑J ['奏p']
# 凒 ['豈']
# 凓. ['栗.']
# 凓T ['栗T']
# 凔. ['倉.']
# 凔H ['倉H']
# 凕. ['冥.']
# 凕J ['冥J']
# 凖. ['准.']
# 凖J ['准J']
# 凗. ['崔.']
# 凗K ['崔J']
# 凘 ['斯']
# 凙 ['睪']
# 凚. ['禁.']
# 凚T ['禁T']
# 凛. ['禀.']
# 凛T ['禀T']
# 凛J ['禀J']
# 凜. ['稟.']
# 凜T ['稟T']
# 凜J ['稟J']
# 凝. ['疑.']
# 凝H ['疑H']
# 凞. ['熈.']
# 凞H ['臣', '巳w', '灬']
# 凞T ['臣', '巳.', '灬']
# 凞K ['臣', '㔾', '灬']
# 凟. ['賣']
# 凟H ['𧶠']
# 凤 ['𠘨']
# 凥 ['尸']
# 処 ['夂']
# 凧 ['𠘨', '巾']
# 凨 ['𠘨']
# 凩 ['𠘨', '木']
# 凪 ['𠘨', '止']
# 凬 ['𠘨', '𣄼']
# 凭. ['任.']
# 凭H ['任H']
# 凮 ['𠘨', '百']
# 凯 ['岂t']
# 凰 ['𠘨', '皇']
# 凱 ['豈t']
# 凲. ['𠘨', '兼.']
# 凲T ['𠘨', '兼pp']
# 凳 ['登']
# 凴 ['馮']
# 凶 ['㐅']
# 出 ['屮.']
# 凼 ['水']
# 凾 ['又']
# 凿 ['𢆉']
# 刃J ['㐅']
# 刈 ['㐅']
# 刉 ['乞']
# 刊 ['干']
# 刋 ['千p']
# 刌 ['寸']
# 刍 ['彐.']
# 刏. ['气.']
# 刏T ['气z']
# 刐. ['丹.']
# 刐T ['丹t']
# 刑 ['开']
# 划 ['戈']
# 刓 ['元t']
# 刔 ['夬d']
# 刕 ['𠚪']
# 刖 ['月.']
# 列 ['歹']
# 刘. ['文.d']
# 刘J ['文sd']
# 则 ['贝']
# 刚 ['冈']
# 创 ['仓d']
# 刜 ['弗']
# 初. ['衤.']
# 初J ['衤s']
# 初V ['衤h']
# 刞 ['且t']
# 删. ['册.']
# 删H ['册ss']
# 删T ['册.s']
# 刡 ['民']
# 刢. ['令', '刂.']
# 刢T ['令', '刂T']
# 刢J ['令', '刂J']
# 判. ['半..p']
# 判K ['半ptp']
# 判V ['半p.p']
# 別 ['𠮠']
# 刨 ['包.']
# 利 ['禾d']
# 刬 ['戋']
# 刭 ['𢀖t']
# 刮 ['舌']
# 刯 ['亘t']
# 到 ['至t']
# 刲 ['圭t']
# 刳. ['夸d']
# 刳J ['夸.']
# 刴 ['朶T']
# 刵 ['耳']
# 制 ['牛']
# 刷 ['𡰯']
# 券. ['龹']
# 券K ['𠔉']
# 刹. ['杀.']
# 刹T ['杀w']
# 杀w ['㐅', '𣎳']
# 刹J ['杀T']
# 刺 ['朿d']
# 刻. ['亥.']
# 刻J ['亥J']
# 刻V ['亥V']
# 刼T ['刄T']
# 刽 ['会d']
# 刾 ['夹d']
# 刿 ['岁']
# 剀 ['岂t']
# 剁 ['朵T']
# 剂 ['齐.d']
# 剃 ['弟']
# 剄 ['巠t']
# 剅 ['豆t']
# 剆. ['巳t']
# 剆K ['良sd']
# 則 ['貝']
# 剈. ['肙.']
# 剈T ['肙T']
# 剉 ['坐t']
# 削. ['肖']
# 削T ['肖T']
# 削K ['肖K']
# 剋 ['克']
# 剌 ['束d']
# 前. ['䒑', '月s']
# 前T ['䒑', '刖']
# 剎. ['𣏂']
# 剎H ['㐅', '朮']
# 剏. ['并', '刃']
# 剏T ['并', '刄T']
# 剏J ['并']
# 剐 ['呙']
# 剑 ['佥t']
# 剒 ['昔']
# 剓 ['𥝢']
# 剔 ['易']
# 剕. ['非.']
# 剕H ['非H']
# 剖. ['咅.']
# 剖J ['咅J']
# 剗 ['戔']
# 剘 ['其']
# 剙 ['并']
# 剚 ['事']
# 剛 ['岡']
# 剜. ['宛.t']
# 剜H ['宛.w']
# 剜J ['宛J']
# 剝. ['彔H']
# 剝V ['彔.']
# 剞 ['奇']
# 剟 ['叕d']
# 剠. ['京.']
# 剠J ['京J']
# 剡 ['炎d']
# 剢 ['豖']
# 剣 ['㑒d']
# 剤. ['斉.d']
# 剤J ['斉s.']
# 剥 ['录T']
# 剦. ['奄t']
# 剦J ['奄.']
# 剧 ['居']
# 剨. ['砉.']
# 剨H ['砉H']
# 剩. ['乘.']
# 剩V ['乘d']
# 剪. ['前.']
# 剪T ['前T']
# 剪J ['䒑']
# 剫. ['度.d']
# 剫K ['度sd']
# 剬 ['耑']
# 剭. ['屋t']
# 剭T ['屋.']
# 剮. ['咼']
# 剮H ['咼H']
# 副 ['畐']
# 剰. ['乗.']
# 剰T ['乗2']
# 剱. ['㑒d', '刃']
# 剱J ['㑒d']
# 割. ['害.']
# 割H ['害H']
# 割T ['害T']
# 割J ['害J']
# 割K ['害K']
# 剳. ['荅.d']
# 剳H ['荅2d']
# 剴 ['豈t']
# 創. ['倉.']
# 創H ['倉H']
# 剶 ['彖d']
# 剷. ['産.t']
# 剷H ['產.t']
# 剷T ['產.']
# 剷J ['產st']
# 剷K ['產s.']
# 剷V ['産s.']
# 剸 ['專']
# 剹. ['翏.']
# 剹H ['翏H']
# 剹J ['翏J']
# 剺. ['𠩺.']
# 剺H ['𠩺T']
# 剻 ['崩']
# 剼 ['參d']
# 剽. ['票.']
# 剽T ['票T']
# 剾T ['區T']
# 剿 ['巢d']
# 劀. ['矞.']
# 劀H ['矞H']
# 劀J ['矞J']
# 劁. ['焦']
# 劁K ['焦J']
# 劂G ['厥d']
# 劂K ['厥.']
# 劃 ['畫t']
# 劄. ['答d']
# 劄T ['𥫗', '㓣']
# 劄V ['答.']
# 劅 ['蜀']
# 劆 ['廉.d']
# 劇. ['豦.']
# 劇H ['豦H']
# 劈. ['辟.']
# 劈J ['辟J']
# 劉 ['金t']
# 劊 ['會d']
# 劋 ['喿d']
# 劌. ['歲.']
# 劌J ['歲g']
# 劍 ['僉d']
# 劎 ['僉d']
# 劏 ['當']
# 劐. ['蒦.d']
# 劐H ['蒦2d']
# 劑. ['齊']
# 劑H ['齊H']
# 劑J ['齊J']
# 劒 ['僉d']
# 劓. ['鼻.']
# 劓K ['鼻J']
# 劔. ['僉']
# 劔J ['僉']
# 劕 ['質']
# 劖. ['毚.']
# 劖H ['毚ht']
# 劗 ['贊']
# 劘. ['靡.']
# 劘H ['靡H']
# 劘T ['靡T']
# 劘J ['靡J']
# 劙 ['蠡H']
# 劚. ['屬.']
# 劚J ['屬J']
# 功 ['工t']
# 务 ['夂']
# 劣. ['少.']
# 劣H ['少H']
# 劤 ['斤']
# 劥. ['亢.t']
# 劥J ['亢J']
# 劦 ['𠠴']
# 劧 ['手']
# 助 ['且t']
# 努 ['奴']
# 劮 ['失d']
# 劯 ['石']
# 劰 ['白']
# 劲 ['𢀖t']
# 劳 ['𫇦']
# 労 ['𭕄']
# 劵. ['龹']
# 劵J ['𠔉']
# 劶 ['后']
# 劷. ['羊.p']
