⿰	∎	lr	IDS
亠J	{亠} ⿱ 丨 一	亠s
亡.	⿱ 亠. 𠃊	
亡H	⿱ 亠. ㇄	亡w
亡J	⿱ 亠J ㇄	亡s
亡V	⿱ 亠J 𠃊	
亣	⿱ 亠. ⿰ 丿 丨	
亦.	⿱ 亠. ⿲ 丿 丿 ⿰ 亅 丶	
亦H	⿱ 亠. ⿲ 丿 丨 ⿰ 亅 丶	
亦J	⿱ 亠J ⿲ 丿 丿 ⿰ 亅 丶	
亨.	⿳ 亠. 口 了	
亨J	⿳ 亠J 口 了	
亭.	⿳ 亠. 口 ⿱ 冖 丁	
亭J	⿳ 亠J 口 ⿱ 冖 丁	
亮.	⿳ 亠. 口 ⿱ 冖 几	
亳.	⿳ 亠. 口 ⿱ 冖 乇	
亳J	⿳ 亠J 口 ⿱ 冖 乇	
亴.	⿳ 亠. 口 ⿳ 冖 土 九	
亴T	⿳ 亠. 口 ⿳ 冖 ⿻ 丨 二 九	
亴K	⿳ 亠J 口 ⿳ 冖 土 九	
人.	∎		$(丿乀)
人d	∎		$(丿丶)
亻	⿱ 丿 丨	
亿	⿰ 亻 乙	
什	⿰ 亻 十	
仁	⿰ 亻 二	
仂	⿰ 亻 力	
仃	⿰ 亻 丁	
仄	⿸ 厂 人.	
仆	⿰ 亻 卜	
仇	⿰ 亻 九	
仈.	⿰ 亻 八.	
仉	⿰ 亻 几	
介	⿱ 人. ⿰ 丿 丨	
仌.	⿱ 人d 人.	
仌T	⿱ 人. 人.	
从.	⿰ 人d 人.	
从d	⿰ 人d 人d	
仏	⿰ 亻 厶	
仐	⿱ 人. 十	
仒	⿱ 人. ⺀	
他.	⿰ 亻 也.	
他H	⿰ 亻 也H	
仛	⿰ 亻 乇	
仞	⿰ 亻 刃.	
仟	⿰ 亻 千	
仢	⿰ 亻 勺.	
以	⿲ 𠄌 丶 人d	
仧	⿱ 上 人.	
仨	⿰ 亻 三	
仩	⿰ 亻 上	
仪	⿰ 亻 义.	
仫	⿰ 亻 么	
仭.	⿰ 亻 刄.	
仲	⿰ 亻 中	
价	⿰ 亻 介	
仹.	⿰ 亻 丰.	
仹T	⿰ 亻 丰H	
仺	⿱ 人. ⿷ 匚 一	
份.	⿰ 亻 分.	
伆	⿰ 亻 勿	
伋T	⿰ 亻 及T	
伓	⿰ 亻 不	
会	⿱ 人. 云	
伜	⿰ 亻 卆	
伝	⿰ 亻 云	
传	⿰ 亻 专	
伨.	⿰ 亻 匀.	
伨H	⿰ 亻 勻	
伪	⿰ 亻 为	
估	⿰ 亻 古	
伳	⿰ 亻 世	
伴.	⿰ 亻 半.	
似	⿰ 亻 以	
伽	⿰ 亻 加	
伾	⿰ 亻 丕	
伿	⿰ 亻 只	
佁	⿰ 亻 台	
佉	⿰ 亻 去	
佋	⿰ 亻 召	
佔	⿰ 亻 占	
何	⿰ 亻 可	
佝	⿰ 亻 句	
佧	⿰ 亻 卡	
佪	⿰ 亻 回	
佻	⿰ 亻 兆	
來	⿻ 十 ⿱ 从d 人.	
侢	⿰ 亻 再	
侣	⿰ 亻 吕	
侩	⿰ 亻 会	
侶	⿰ 亻 呂	
俖	⿰ 亻 否	
俛	⿰ 亻 免.	
俨	⿰ 亻 严	
俪	⿰ 亻 丽.	
倅.	⿰ 亻 卒.	
倈	⿰ 亻 來	
個	⿰ 亻 固	
倜H	⿰ 亻 周H	
偔	⿰ 亻 咢	
偘	⿰ 亻 品	
停.	⿰ 亻 亭.	
傴.	⿰ 亻 區.	
儿.	⿰ 丿 乚	
儿w	⿰ 丿 ㇄	
兆	⿰ 冫 ⿺ 儿. ⿱ 丿 丶	
免.	⿱ ⺈ ⿸ ⿻ 丿 口 乚	
兎.	⿱ 丿 ⿷ ⿸ ⿻ 丿 口 乚 丶	
兔.	⿱ ⺈ ⿷ ⿸ ⿻ 丿 口 乚 丶	
兔K	⿱ 刀 ⿷ ⿸ ⿻ 丿 口 乚 丶	
!卬	∎		$(丿𠄌)
入.	∎		$(丿乀)
入H	∎		$(丿㇝)
兦.	⿺ 𠃊 入.	
兦H	⿺ ㇄ 入H	
八.	⿰ 丿 乀	
八T	⿰ 丿 ㇝	
八d	⿰ 丿 丶	
六.	⿱ 亠. 八d	
六J	⿱ 亠J 八d	
兮.	⿱ 八. 丂	
兯	⿱ 丷 ⿹ 𠃌 丨	
兰	⿱ 丷 三	
兵	⿱ 丘 八d	
冂	∎		$(丨𠃌)	
冃	⿵ 冂 二	
冄	⿻ 冂 二	
円	⿵ 冂 丄	
冉.	⿻ 丨 ⿴ ⿻ 冂 一 一	
冉K	⿻ 丨 冄	
冊	⿻ ⿴ 冂 〢 一	
冋	⿵ 冂 口	
册	⿻ ⿰ ⺆ ⺆ 一	
再	⿱ 一 冉.	
冎.	⿱ ⿵ 冂 𠃍 冂	
冏.	⿵ 冂 ⿱ 八d 口	
冏H	⿵ 冂 ⿱ 儿w 口	
冏J	⿵ 冂 ⿱ 儿. 口	
冖	∎		$(丶乛)	
冘	⿸ ⿻ 丿 冖 乚	
写.	⿱ 冖 与.	
写T	⿱ 冖 与J	
冤.	⿱ 冖 兔.	
冤J	⿱ 冖 兔K	
冫	⿱ 丶 ㇀	
冲	⿰ 冫 中	
冶	⿰ 冫 台	
冸.	⿰ 冫 半.	
冸J	⿰ 冫 半K	
冻	⿰ 冫 东	
净	⿰ 冫 争	
凂	⿰ 冫 免.	
凅	⿰ 冫 固	
凋H	⿰ 冫 周H	
几	∎		$(丿㇈)
凡	⿵ 几 丶	
凢	⿱ 丿 几	
凣	⿱ 丨 几	
凫	⿹ ⿱ 丿 ⿴ !乌0 丶 几	
凵	∎		$(𠃊丨)
凷	⿶ 凵 土	
凸	∎		$(丨一丨㇎一)
凹	∎		$(丨㇅丨𠃍一)	
击	⿱ ⿻ 丨 二 凵	
函.	⿶ 凵 ⿲ 冫 了 ⿱ 丿 丶	
函J	⿶ 凵 ⿲ 冫 丂 ⿱ 丿 丶	
刀	⿹ 𠃌 丿	
刁	⿹ 𠃌 ㇀	
刂	⿰ 丨 亅	
刃.	⿹ 刀 丶	
刄.	⿻ 刀 乀	
刄J	⿻ 刀 ㇝	
刅	⿰ 刃. 丶	
分.	⿱ 八. 刀	
分T	⿱ 八T 刀	
切.	⿰ 七t 刀	
切J	⿰ 七. 刀	
刎	⿰ 勿 刂	
刟	⿰ 召 刂	
刣	⿰ 台 刂	
判J	⿰ 半. 刂	
刦	⿰ 去 刂	
刧	⿰ 去 刀	
刪	⿰ 冊 刂	
别	⿰ 另 刂	
刱	⿰ 井 刅	
刼.	⿰ 去 刃.	
刼J	⿰ 去 刄J	
剾.	⿰ 區. 刂	
力	⿻ 丿 𠃌	
劜	⿰ 力 乚	
劝	⿰ 又d 力	
办	⿲ 丶 力 丶	
加	⿰ 力 口	
劢	⿰ 万 力	
动	⿰ 云 力	
劫	⿰ 去 力	
劬	⿰ 句 力	
劭	⿰ 召 力	
励	⿰ 厉 力	
勉.	⿺ 免. 力	
勹	⿰ 丿 𠃌	
勺.	⿹ 勹 丶	
勺K	⿹ 勹 一	
勻	⿹ 勹 二	
勽	⿹ 勹 人d	
勾	⿹ 勹 厶	
勿	⿹ 勹 ⿰ 丿 丿	
匀.	⿹ 勹 冫	
匀J	⿹ 勹 ⿱ 一 ㇀	
匁	⿻ ⿹ 勹 丿 乀	
匂	⿹ 勹 匕.	
匄.	⿹ 勹 亡.	
匄H	⿹ 勹 亡H	
匆	⿻ 勿 丶	
匕.	⿺ 乚 丿	
匕T	⿺ 乚 一	
匕th	⿺ 𠄌 一	
化H	⿰ 亻 匕.	
化T	⿰ 亻 匕T	
北.	⿰ !北. 匕.	
北H	⿰ !北H 匕.	
北T	⿰ !北H 匕T	
!北.	⿰ ⿱ 一 ㇀ 丨	
!北H	⿱ ⿰ 一 丨 ㇀	
匚	∎		$(一𠃊)
匜.	⿷ 匚 也.	
匜H	⿷ 匚 也H	
匢	⿷ 匚 勿	
匸.	⿱ 一 𠃊	
匸H	⿱ 一 ㇄	
匹.	⿷ 匚 儿.	
匹H	⿷ 匸H 儿w	
區.	⿷ 匚 品	
十	⿻ 丨 一	
卂.	⿹ ⺄ 十	
卂T	⿹ ㇈ 十	
千	⿱ 丿 十	
卄	⿻ 〢 一	
卆	⿱ 九 十	
半.	⿻ 丨 ⿱ 丷 二	
半K	⿻ 丨 ⿱ 八d 二	
卌.	⿻ ⿰ 丨 〣 一	
卌T	⿻ ⿰ 丿 〣 一	
卍	⿻ ㇅ !卍	
!卍	∎		$(丨一丨)
华T	⿱ 化T 十	
协	⿰ 十 办	
卐	⿻ !卐 𠃑	
!卐	∎		$(一丨一)
卒.	⿳ 亠. 从d 十	
卒J	⿳ 亠J 从d 十	
卜	⿰ 丨 丶	
卝	⿲ 一 丨 ⺊	
卞.	⿱ 亠. 卜	
卞J	⿱ 亠J 卜	
卟	⿰ 口 卜	
占	⿱ ⺊ 口	
卡	⿱ 上 卜	
卣	⿱ ⺊ 囙	
卥	⿱ ⺊ ⿴ 囗 ⿻ ⿰ 丿 丿 丶	
卩.	∎		$(𠃌丨)
卫	⿱ 𠃌 丄	
厂	∎		$(一丿)
厃	⿱ ⺈ 厂	
厅	⿸ 厂 丁	
历	⿸ 厂 力	
厉	⿸ 厂 万	
厶	⿸ 𠃋 丶	
厸	⿰ 厶 厶	
去	⿱ 土 厶	
厽	⿱ 厶 厸	
厾	⿹ ⺄ 去	
又.	⿻ ㇇ 乀	
又d	⿻ ㇇ 丶	
叉	⿴ 又. 丶	
及T	⿸ ⿱ 𠃍 丿 又.	
双.	⿰ 又d 又.	
双n	⿰ 又. 又.	
双d	⿰ 又d 又d	
反T	⿸ 厂 又.	
収	⿰ 丩 又.	
叏	⿱ ⿻ 丨 ユ 又.	
发	⿺ ⿸ ⿻ 丿 𠃊 又. 丶	
叒.	⿱ 又d 双.	
叒J	⿱ 又. 双n	
叒K	⿱ 又. 双.	
㕛d	⿱ 又d 又d	
!叚	∎		$(𠃍一丨)
叝J	⿰ 去 𠬝p	
𠬝p	⿸ 卩p 又.	
卩p	∎		$(𠃌丿)
口	∎		$(丨𠃍一)
古	⿱ 十 口	
句	⿹ 勹 口	
另	⿱ 口 力	
叧	⿱ 口 刀	
叨	⿰ 口 刀	
只	⿱ 口 八d	
叫	⿰ 口 丩	
召	⿱ 刀 口	
叭.	⿰ 口 八.	
叮	⿰ 口 丁	
可	⿹ 丁 口	
台	⿱ 厶 口	
史.	⿻ 丿 ⿱ 口 乀	
史K	⿻ 丿 ⿱ 口 ㇝	
叵	⿷ 匚 口	
叶	⿰ 口 十	
号	⿱ 口 丂	
叹	⿰ 口 又.	
叺.	⿰ 口 入.	
叺T	⿰ 口 入H	
叻	⿰ 口 力	
叼	⿰ 口 刁	
叽.	⿰ 口 几	
叾	⿱ 了 口	
吀	⿰ 口 千	
吂.	⿱ 亡. 口	
吂T	⿱ 亡H 口	
吂J	⿱ 亡J 口	
吅	⿰ 口 口	
吐	⿰ 口 土	
向	⿵ ⿱ 丿 冂 口	⿱丿冋
吒	⿰ 口 乇	
吓	⿰ 口 下	
吔.	⿰ 口 也.	
吔H	⿰ 口 也H	
吕	⿱ 口 口	
吖	⿰ 口 丫	
吜.	⿰ 口 丑.	
吜H	⿰ 口 丑H	
吤	⿰ 口 介	
吥	⿰ 口 不	
否	⿱ 不 口	
吩.	⿰ 口 分.	
吩T	⿰ 口 分T	
吪H	⿰ 口 化H	
吪T	⿰ 口 化T	
吸T	⿰ 口 及T	
吻	⿰ 口 勿	
呁.	⿰ 口 匀.	
呁H	⿰ 口 勻	
呁K	⿰ 口 匀J	
呂	⿳ 口 丿 口	
呉.	⿳ ⿺ 𠃑 口 一 八d	
呉T	⿳ ⿱ 口 𠃑 一 八d	
呍	⿰ 口 云	
呖	⿰ 口 历	
呥	⿰ 口 冉.	
周H	⿵ ⺆ ⿱ ⿻ 丨 二 口	
呫	⿰ 口 占	
呬.	⿰ 口 四.	
呬J	⿰ 口 四J	
呭	⿰ 口 世	
呮	⿰ 口 只	
呴	⿰ 口 句	
呵	⿰ 口 可	
呸	⿰ 口 丕	
呺	⿰ 口 号	
呿	⿰ 口 去	
咃.	⿰ 口 他.	
咃T	⿰ 口 他H	
咍	⿰ 口 台	
咒	⿱ 吅 几	
咔	⿰ 口 卡	
咕	⿰ 口 古	
咖	⿰ 口 加	
咝	⿰ 口 丝	
咢	⿱ 吅 亏	
咼.	⿵ 冎. 口	
品	⿱ 口 吅	
响	⿰ 口 向	
哑	⿰ 口 亚	
哬	⿰ 口 何	
哵.	⿰ 口 别	
哼.	⿰ 口 亨.	
哼J	⿰ 口 亨J	
𠂛w	⿱ 丿 ⿺ ㇄ ⺊	
唖	⿰ 口 亜	
啁H	⿰ 口 周H	
商.	⿳ 亠. 丷 冏.	
商H	⿳ 亠. 丷 冏H	
商J	⿳ 亠J 丷 冏J	
啇.	⿳ 亠. 丷 ⿵ 冂 古	
啇J	⿳ 亠J 丷 ⿵ 冂 古	
啐.	⿰ 口 卒.	
啐J	⿰ 口 卒J	
啚.	⿳ 口 十 回	
啬	⿱ ⿻ 土 丷 回	
喎.	⿰ 口 咼.	
喨.	⿰ 口 亮.	
喪	⿱ ⿻ 土 吅 ⿰ 𠄌 ⿹ 丿 乀	
嗇	⿱ ⿻ 土 从d 回	
嗰	⿰ 口 個	
嘀	⿰ 口 啇.	
嘂	⿲ 吕 丩 吕	
嘔.	⿰ 口 區.	
囗	∎		$(丨𠃍一)
囙	⿴ 囗 コ	
囚.	⿴ 囗 人d	
囚J	⿴ 囗 人.	
四.	⿴ 囗 儿w	
四J	⿴ 囗 儿.	
囜	⿴ 囗 厶	
回	⿴ 囗 口	
囧.	⿴ 囗 ⿱ 八d ㄇ	
囧H	⿴ 囗 ⿱ 儿w ㄇ	
囧J	⿴ 囗 ⿱ 儿. ㄇ	
囨	⿴ 囗 不	
囩	⿴ 囗 云	
囪	⿴ ⿱ 丿 囗 ⿻ ⿰ 丿 丿 丶	
囫	⿴ 囗 勿	
囬	⿴ 囗 ⿲ 丨 二 丨	
囮H	⿴ 囗 化H	
囮T	⿴ 囗 化T	
囲	⿴ 囗 井	
囶T	⿴ 囗 ⿱ 儿w 土	
囶J	⿴ 囗 ⿱ 八T 土	
固	⿴ 囗 古	
囼	⿴ 囗 台	
圖.	⿴ 囗 啚.	
土	⿱ 十 一	

# missing following components
# ⺗ ['小']
# ⺧ ['𠂉']
# ⺪ ['止']
# ⺴ ['儿']
# ⺻ ['肀']
# ⻇ ['𠕎']
# ⻍ ['⻌']
# ⻎ ['!⻎']
# ⻞ ['亼']
# 丈. ['𠂇']
# 丈K ['𠂇']
# 丒 ['㐅']
# 且 ['𠀃']
# 丗. ['山']
