!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
HT	⿱艹H嘉
㒛.	⿰亻翟.
㒛K	⿰亻翟J
㒛T	⿰亻翟H
㒜.	⿰亻與.
㒜T	⿰亻與T
㒝.	⿰亻蔑.
㒝T	⿰亻蔑H
㒞	⿰亻嶲.
㒟.	⿰亻褭.
㒟K	⿰亻褭K
㒠	⿰亻韰
㒡.	⿰亻繇.
㒡T	⿰亻繇T
㒢	⿰亻龠.
㒤.	⿰亻聶.
㒤T	⿰亻聶H
㒥	⿰亻豐.
㒦	⿰亻壘
㒧.	⿰亻離.
㒧K	⿰亻離J
㒨.	⿰亻⿱𦦉.巳.
㒨T	⿰亻⿳⿲⿷!乐.一⿱丿同z彐大.巳.
㒩.	⿰亻蠡.
㒪.	⿳人.𦣦⿰止t豕.
㒪T	⿳人.𦣦⿰止t豕d
㒫	⿱⿸┌一兀.
㒬	⿺元.王.
㒭	⿰兄t兄.
㒮	⿺元.豕d
㒯H	⿰光t華H
㒯T	⿰光t華.
㒰.	⿱入.工.
㒰T	⿱入H工.
㒱	⿱入H夕
㒲.	⿱入.日
㒲T	⿱入H日
㒳.	⿵冂⿲入.丨入.
㒳T	⿵冂⿲入H丨入H
㒴.	⿱入.出
㒴T	⿱入H出
㒵.	⿱白八.
㒵T	⿱白八d
㒶.	⿱八.白
㒶T	⿱八T白
㒷	⿳𠔿z一八d
㒸.	⿱丷豕.
㒸d	⿱丷豕d
㒹.	⿰真.真.
㒹J	⿰眞.眞.
㒹T	⿰真J真J
㒺	⿵冂⿱䒑.⿺㇄人d
㒻	⿱⺜見.
㒼H	⿱廿⿻丨⿵冂𠓜T
㒽	⿱⺜卷.
㒾.	⿱⺜施.
㒾T	⿱⺜施H
㒿	⿱⺜離.
㓀	⿱冖卜
㓁H	⿱冖儿.
㓁K	⿱冖儿w
㓂	⿱冖⿺元.女
㓃.	⿱冖託.
㓃J	⿱冖託J
㓅	⿰冫丁
㓆	⿰冫仑
㓇	⿰冫夭.
㓈	⿰冫石
㓉	⿰冫舌.
㓊	⿰冫同.
㓋	⿰冫共
㓌.	⿰冫全.
㓌T	⿰冫全H
㓍	⿰冫充.
㓎.	⿰冫𠬶V
㓎T	⿰冫𠬶T
㓏.	⿰冫冏.
㓏K	⿰冫冏J
㓏T	⿰冫冏H
㓐.	⿰冫坴.
㓐T	⿰冫坴H
㓑	⿰冫幸
㓓	⿰冫南.
㓔H	⿰冫射H
㓕	⿰冫烕
㓖.	⿰冫畢.
㓗.	⿰冫絜.
㓗J	⿰冫絜J
㓗T	⿰冫絜T
㓘.	⿵夙玉
㓘T	⿵𠘨⿳一⿴𠂊⺀玉
㓙	⿶凵文K
㓚	⿰工t刂
㓛	⿰工t刀
㓜.	⿰幺.刀
㓜J	⿰幺J刀
㓝	⿰井刂
㓞.	⿰丰.刀
㓞H	⿰丰H刀
