!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
HT	⿱艹H嘉
䉄.	⿱𥫗陵.
䉄T	⿱𥫗陵T
䉅	⿱𥫗執
䉆	⿱𥫗鳥
䉇	⿱𥫗𠝻U
䉈.	⿱𥫗散.
䉈T	⿱𥫗散T
䉉.	⿱𥫗觚.
䉉T	⿱𥫗觚H
䉊	⿱𥫗軬
䉋	⿱𥫗媚
䉌	⿱𥫗隊.
䉍	⿱𥫗悶
䉐	⿱𥫗軲
䉑	⿱𥫗無
䉒.	⿱𥫗番.
䉒T	⿱𥫗番H
䉓	⿱𥫗棵
䉔	⿱𥫗殘
䉖.	⿱𥫗軨.
䉖J	⿱𥫗軨J
䉖T	⿱𥫗軨H
䉗	⿱𥫗揖.
䉘.	⿱𥫗棕.
䉘T	⿱𥫗棕T
䉙.	⿱𥫗雲.
䉙T	⿱𥫗雲H
䉚	⿳𥫗罒𤬦
䉛.	⿱𥫗奥.
䉛T	⿱𥫗奧T
䉜.	⿱𥫗雉.
䉜J	⿱𥫗雉J
䉝	⿱𥫗義
䉞.	⿱𥫗感.
䉞T	⿱𥫗感H
䉟.	⿱𥫗㨦
䉠.	⿱𥫗微.
䉠H	⿱𥫗微H
䉡	⿱𥫗亶.
䉢	⿱𥫗嗇
䉣	⿱𥫗舄
䉤	⿱𥫗数
䉥.	⿱𥫗摠.
䉥T	⿱𥫗摠T
䉦.	⿱𥫗遷.
䉩.	⿱𥫗樞.
䉩T	⿱𥫗樞H
䉪	⿱𥫗畾
䉫	⿱𥫗黎
䉭.	⿱𥫗巤
䉭T	⿳𥫗巛⿱囚.⿲𠄌二⿲𠄌二㇂
䉮	⿱𥫗閵.
䉯	⿱𥫗賢
䉰.	⿱𥫗骹.
䉰K	⿱𥫗骹J
䉰T	⿱𥫗骹T
䉱.	⿱𥫗䙔.
䉱T	⿱𥫗䙔T
䉲	⿱𥫗彌
䉳	⿱𥫗鮮
䉴.	⿱𥫗襄.
䉴K	⿱𥫗襄J
䉶.	⿱𥫗雙.
䉷.	⿱𥫗嚴.
䉷T	⿱𥫗嚴H
䉸	⿱𥫗辯.
䉹.	⿱𥫗靈.
䉹T	⿱𥫗靈H
䉺	⿰米T工.
䉻	⿰米T氏
䉼	⿰米T斤
䉽.	⿰米T半.
䉽J	⿰米T半K
䉾.	⿱北.米.
䉾T	⿱北H米T
䉿	⿰米T乎
䊀	⿰米T古
䊁	⿰米T先.
䊂	⿰米T朿.
䊄.	⿱巩.米.
䊄T	⿱巩T米T
䊅	⿰米T名
䊆.	⿱臼米.
䊆T	⿱臼米T
䊇	⿰米T甫.
䊈	⿰米T每
䊉	⿰米T宋.
䊊	⿰米T尾
䊋	⿰米T壯
䊌.	⿰米T庇.
䊌H	⿰米T庇H
䊍.	⿱𥝢米.
䊍T	⿱𥝢米T
䊎	⿰米T卷.
䊏	⿰米T炎.
䊐.	⿰米T昆.
䊐T	⿰米T昆H
䊑.	⿰米T尚
䊑J	⿰米T尙
䊒	⿰米T隹.
䊓	⿰米T是
䊔.	⿰米T英.
䊕	⿰米T建.
䊖	⿰米T南.
䊗	⿰米T皇
䊘	⿰米T胄.
䊙.	⿱研米.
䊙T	⿱研米T
䊚.	⿰米T追.
䊚T	⿰米T追H
䊛.	⿰米T殺.
䊛T	⿰米T殺H
䊜	⿰米T專
䊝.	⿰米T悉.
䊞	⿰米T啇.
䊟T	⿰米T㒼H
䊠.	⿱既.米.
䊠T	⿱既.米T
䊡.	⿰米T曼.
䊡T	⿰米T曼H
䊢	⿱將.米.
䊣.	⿰米T黄
䊣J	⿰米T黃.
䊣T	⿰米T黃T
䊤	⿰米T覃.
䊦	⿰米T壹
䊧	⿰米T費
䊨.	⿱吂.⿰月籶
䊨T	⿱吂T⿰⺼籶
䊩.	⿰米T番.
䊩T	⿰米T番H
䊪.	⿰米T萬.
䊪T	⿰米T萬H
䊫.	⿰米T罪.
䊫T	⿰米T罪H
䊭	⿰米T壽
䊮.	⿰米T翟.
䊮T	⿰米T翟H
䊯.	⿰米T廣.
䊯J	⿰米T廣J
䊰.	⿰米T諸.
䊰K	⿰米T諸K
䊱	⿰米T韱
䊲.	⿰粟T産.
䊲T	⿰粟T產
䊳.	⿰米T靡.
䊳K	⿰米T靡J
䊳T	⿰米T靡T
䊵	⿰糹.九.
䊶.	⿰糹.也.
䊶J	⿰糸J也.
䊶T	⿰糹.也H
䊷	⿰糹.才.
䊸	⿰糹.亏
䊹	⿰糹.千.
䊺.	⿰糹.互
䊺K	⿰糸J互
䊻	⿰糹.欠.
䊼	⿰糹.止.
䊽.	⿰糹.夬.
䊾.	⿰糹.木.
䊾K	⿰糸J木.
䊿	⿰糹.夫.
䋀.	⿸户.糸.
䋀K	⿸戶糸J
䋀T	⿸戶糸.
䋁.	⿰糹.亢.
䋁J	⿰糸J亢J
䋂.	⿰糹.爻.
䋂K	⿰糸J爻J
䋃	⿰糹.毛.
䋄	⿰糹.冈
䋅	⿰糸J牛.
䋆	⿰糸J戸
䋇	⿰糸J尺.
䋈.	⿱奴糸.
䋈K	⿱奴糸J
䋉.	⿰糹.穴.
䋉T	⿰糹.穴T
䋊	⿰糹.正.
䋋	⿰糹.民
䋌.	⿰糹.巨.
䋌T	⿰糹.巨H
䋍.	⿰糹.可
䋍K	⿰糸J可
䋎	⿰糹.旦.
䋏	⿰糹.乍
䋐	⿰糹.戉
䋑	⿰糹.丙
䋒	⿰糹.矛
䋓	⿰糹.刍
䋔	⿰糹.丕
䋕.	⿱任.糸.
䋖.	⿰糹.聿
䋖J	⿰糸J聿
䋗	⿰糹.臣
䋘.	⿰糹.耒.
䋘T	⿰糹.耒H
䋙	⿰糹.耳.
䋚	⿰糹.羽.
䋛.	⿰糹.米.
䋛J	⿰糸J米.
䋛T	⿰糹.米T
䋜.	⿱⿰户.又.糸.
䋜K	⿱⿰戶又.糸J
䋜T	⿱⿰戶又.糸.
䋝	⿰糸J⿱𭕄女
䋞	⿰糹.网.
䋟	⿰糹.忌
䋠	⿰糹.甫.
䋡	⿰糹.余.
䋢	⿱折糸.
䋣.	⿰每糸.
䋣K	⿰每糸J
䋤	⿰素.勺.
䋥	⿰糹.里.
䋦.	⿰糹.每
䋦K	⿰糸J每
䋧	⿰糹.居
䋨.	⿰糹.咅.
䋨J	⿰糸J咅J
䋩	⿰糹.兒.
䋪	⿰糹.阿
䋫.	⿰糹.争
䋫K	⿰糸J爭J
䋫T	⿰糹.爭.
䋭.	⿰糹.育.
䋭T	⿰糹.育T
䋮	⿰糹.金.
䋯T	⿱⿰戶戈糸.
䋰.	⿱具.糸.
䋰K	⿳目大.糸J
䋰T	⿳目大.糸.
䋱.	⿰糹.來
䋱K	⿰糸J來
䋲	⿰糹.黾
䋳.	⿰糹.背.
䋳K	⿰糸J背.
䋳T	⿰糹.背T
䋴.	⿰糹.柔.
䋴K	⿰糸J柔.
䋴T	⿰糹.柔T
䋵.	⿰糹.曷.
䋵T	⿰糹.曷H
䋶	⿰糹.頁
䋷.	⿱敄.糸.
䋷K	⿱敄.糸J
䋸	⿰糹.盾
䋹	⿰糹.畐
䋺	⿰糹.秋.
䋻	⿰糹.南.
䋼	⿰糹.盈
䋽	⿰糹.封
䋾	⿰糹.奓
䋿	⿰糹.畏
䌀.	⿰糹.科
䌀K	⿰糸J科
䌁	⿰糹.要
䌂	⿰糹.屋
䌃.	⿰糹.削.
䌃T	⿰糹.削T
䌄	⿰糹.㪅
䌅	⿰糹.唐.
䌆.	⿰糹.鬼.
䌆J	⿰糸J鬼H
䌆T	⿰糹.鬼H
䌇.	⿰糹.索.
䌇J	⿰糸J索J
䌈.	⿰糹.𦐇.
䌈K	⿰糸J𦐇V
䌈T	⿰糹.𦐇T
䌉	⿰糹.罡
䌊.	⿰糹.䍃.
䌊H	⿰糹.䍃J
䌊T	⿰糹.䍃T
䌋.	⿰糹.荅.
䌋K	⿰糸J荅H
䌌.	⿰糹.習.
䌌T	⿰糹.習H
䌌V	⿰糹.習K
䌍	⿰糹.堇
䌎	⿱略糸.
䌏	⿰糹.密.
䌐	⿰糹.覓.
䌑	⿰糹.堅
䌒.	⿰糹.鹿.
䌒K	⿰糸J鹿J
䌒T	⿰糹.鹿H
䌔.	⿰糹.區.
䌔T	⿰糹.區H
䌕.	⿰糹.麻.
䌕K	⿰糸J麻K
䌕T	⿰糹.麻T
䌖.	⿰糹.集.
䌖J	⿰糸J集.
䌖T	⿰糹.集T
䌗	⿰糹.無
䌘T	⿱敝.糸.
䌙.	⿰糹.黄
䌙K	⿰糸J黃.
䌙T	⿰糹.黃T
䌚.	⿰糹.粟.
䌚T	⿰糹.粟T
䌛.	⿰䚻.系.
䌛T	⿰䚻T系.
䌜.	⿰糹.業.
䌜K	⿰糸J業.
䌜T	⿰糹.業T
䌝.	⿰糹.禁.
䌝K	⿰糸J禁.
䌝T	⿰糹.禁T
䌟	⿰糹.辟.
䌠.	⿱㰹糸.
䌠K	⿱㰹糸J
䌡	⿰糹.豊.
䌢.	⿰糹.零.
䌢T	⿰糹.零H
䌣.	⿰糹.管.
䌣T	⿰糸J管J
䌤	⿰糹.爾
䌥.	⿰糹.㥯.
䌥T	⿰糹.㥯T
䌦.	⿰糹.翟.
䌦T	⿰糹.翟H
䌧	⿰糹.壽
䌨.	⿰糹.蔡.
䌨T	⿰糹.蔡T
䌩.	⿰糹.蔑.
䌩T	⿰糹.蔑H
䌪	⿰糹.閻.
䌫.	⿰糹.覧.
䌫H	⿰糹.覧H
䌫J	⿰糸J覧H
䌬.	⿰糹.龍.
䌬J	⿰糸J龍J
䌬T	⿰糹.龍T
䌭.	⿰糹.蕉.
䌭K	⿰糸J蕉J
䌭T	⿰糹.蕉H
䌮.	⿰糹.霜.
䌮T	⿰糹.霜H
䌰.	⿰糹.聶.
䌰T	⿰糹.聶H
䌱.	⿰糹.䇔.
䌱T	⿰糹.䇔T
䌲.	⿰糹.薰.
䌲T	⿰糹.薰H
䌳	⿰糹.璽
䌴.	⿰糹.羸.
䌴T	⿰糹.羸T
䌵.	⿰糹.屬.
䌵K	⿰糸J屬J
䌶	⿰纟才.
䌷	⿰纟由
䌸	⿰纟专
䌹	⿰纟冋
䌺	⿰纟耳.
䌻	⿰纟羽.
䌼	⿰纟兑.
䌽	⿰纟采.
䌾	⿰纟南.
䌿	⿰纟畐
䍀	⿰纟监
䍂	⿰缶于
䍃.	⿱爫.缶
䍃J	⿱⿴𠂊⺀缶
䍃T	⿱⿴𠂊冫缶
䍄	⿰缶占
䍅.	⿰缶令.
䍅T	⿰缶令H
䍆.	⿰缶宁.
䍆K	⿰缶宁J
䍇	⿰缶乏.
䍈	⿰缶平.
䍉	⿰缶只
䍊.	⿰缶交.
䍊K	⿰缶交K
䍋.	⿰缶垂
䍌	⿰缶咅.
䍍	⿰⿳士.冖⿱一缶殳.
䍎.	⿰缶薦.
䍎T	⿰缶薦H
䍏.	⿴⿻冂一〢
䍏J	⿴𠔼〢
䍐	⿱罒干
䍑.	⿱网z干
䍑T	⿱网.干
䍒.	⿱罒木.
䍒T	⿱罒木d
䍓	⿱罒牙
䍔	⿱罒厷
䍕.	⿱罒氐.
䍕T	⿱罒氐H
䍖	⿱罒包.
䍗	⿱罒玄.
䍘.	⿱罒米.
䍘T	⿱罒米T
䍙.	⿱罒每
䍙T	⿱网.每
䍚.	⿱罒良.
䍚K	⿱罒良J
䍛	⿱罒固
䍜	⿱罒隹.
䍝	⿱罒沓
䍞	⿱网.或
䍟.	⿱罒㚇.
䍟T	⿱罒㚇T
䍠	⿱罒离.
䍡.	⿱罒鹿.
䍡T	⿱罒鹿H
䍢	⿱罒無
䍣.	⿱罒雷.
䍣T	⿱罒雷H
䍤.	⿱罒齊.
䍤K	⿱罒齊J
䍥.	⿱罒歷.
䍥T	⿱罒歷H
䍦.	⿱罒離.
䍦K	⿱罒離J
䍧	⿰牛t羊.
䍾	⿰开羽.
䍿.	⿱羽z.王.
䍿T	⿱羽.王.
䎀	⿰羽.戉
䎁.	⿰古羽.
䎁K	⿰古羽K
䎂	⿰羽.包.
䎃	⿰冉.羽.
䎄	⿰召羽.
䎅	⿰白羽.
䎆.	⿱羽z.令.
䎆T	⿱羽.令H
䎇T	⿰舟.t.羽.
䎈	⿰羽.曳
䎉.	⿰羽.戍
䎉K	⿰羽K戍
䎊	⿰各d羽.
䎋	⿰告羽.
䎌	⿰羽.足
䎍	⿰羽.甫.
䎎.	⿰羽.𦔮.
䎎T	⿰羽.耴H
䎏.	⿰含.羽.
䎏T	⿰含H羽.
䎐	⿰𠦝羽.
䎑T	⿰羽.彔H
䎒.	⿰羽.戔
䎒K	⿰羽K戔
䎓	⿰羽.沓
䎔.	⿰羽.尃.
䎔T	⿰羽.尃H
䎕	⿱𤇾T羽.
䎙.	⿰賓.羽.
䎙K	⿰賓K羽.
䎚	⿰羽.慧.
䎜.	⿰老.老.
䎜T	⿰老T老T
䎝.	⿱老.羽.
䎝T	⿱老T羽.
䎞	⿱者K𠃍
䎟	⿰女而
䎠.	⿺丸而
䎡	⿱而火.
䎢.	⿰耒.d乞
䎣.	⿰耒.d以
䎤.	⿰耒.d局
䎥	⿰耒.d谷.
䎦.	⿰耒.d炎.
䎧.	⿰耒.d咅.
䎨.	⿰耒.d奄.
䎩.	⿰耒.d甾
䎩J	⿰耒.d畄
䎪.	⿰耒.d㝵
䎫.	⿰耒.d㚇.
䎬	⿰耒.d罢
䎭.	⿰耒.d造.
䎮.	⿰耒.d啇.
䎯.	⿰耒.d⿱廿⿻人.𠮡
䎰.	⿰耒.d斮
䎲.	⿰耳J乙
䎲T	⿰耳ty乙
䎳.	⿰耳J月
䎳T	⿰耳ty月
䎴.	⿰耳J井
䎴T	⿰耳ty井
䎵.	⿰耳J必
䎵T	⿰耳ty必
䎶.	⿰耳J申
䎶T	⿰耳ty申
䎷.	⿰耳J朱
䎷T	⿰耳ty朱
䎸.	⿰耳J吾
䎸T	⿰耳ty吾
䎹.	⿱丿𥹢.
䎹T	⿱丿𥹢T
䎺.	⿰耳J制
䎺H	⿰耳ty制
䎻.	⿰耳J周.
䎻T	⿰耳ty周.
䎼T	⿰耳ty彔H
䎽.	⿰耳J昏
䎽T	⿰耳ty昏
䎾.	⿰耳J侖
䎾T	⿰耳ty侖
䎿.	⿰耳J秋.
䎿T	⿰耳ty秋.
䏁.	⿰耳J宰.
䏁K	⿰耳ty宰J
䏁T	⿰耳ty宰.
䏂.	⿰耳J叟.
䏂K	⿰耳ty叟.
䏂T	⿰耳ty叟T
䏃.	⿰耳J冥.
䏃T	⿰耳ty冥.
䏄.	⿰耳J窒.
䏄K	⿰耳ty窒J
䏄T	⿰耳ty窒H
䏅.	⿰耳J祭.
䏅T	⿰耳ty祭T
䏆.	⿰耳J曹
䏆T	⿰耳ty曹
䏇.	⿰耳J票.
䏇K	⿰耳ty票.
䏇T	⿰耳ty票T
䏈.	⿰耳J絲.
䏉.	⿰耳J㬎.
䏉T	⿰耳ty㬎.
䏊.	⿰耳J龍.
䏊J	⿰耳ty龍J
䏊T	⿰耳ty龍T
䏋	⿻肀⿱人.⿰心巳.
䏌.	⿱八.冃
䏌K	⿱八T冃
䏌T	⿱八T⺼
䏍.	⿱厶冃
䏍T	⿱厶⺼
䏎.	⿰月凡.
䏎T	⿰⺼凡.
䏏.	⿰月于
䏏T	⿰⺼于
䏐.	⿰月夬.
䏑.	⿱⿴𠂊⺀肉
䏑T	⿱⿴𠂊冫肉
䏒.	⿰月片.
䏒T	⿰⺼片T
䏓.	⿰⺼元.
䏓K	{䏓}⿰月元.
䏔.	⿰月丑.
䏔K	⿰月丑H
䏔T	⿰⺼丑H
䏕.	⿰月壬.
䏕J	⿰月王.
䏕T	⿰⺼壬.
䏖.	⿰月引
䏖T	⿰⺼引
䏗.	⿰月气
䏘.	⿰月匹.
䏘T	⿰⺼匹H
䏙.	{䏙}⿰月冘.
䏙H	⿰⺼冘.
䏚.	⿰月少.
䏚K	⿰月少H
䏚T	⿰⺼少.
䏛.	⿰月匀.
䏛T	⿰⺼勻
䏜.	⿰月及.
䏜T	⿰⺼及T
䏝	⿰月专
䏞.	⿰月末
䏞T	{䏞}⿰⺼末
䏟.	⿰月必
䏟H	⿰⺼必
䏠.	⿰月立.
䏠T	⿰⺼立.
䏡.	⿰月示.
䏡T	⿰⺼示T
䏢.	⿰月皮.
䏢T	⿰⺼皮.
䏣.	⿰月且.
䏣T	⿰⺼且.
䏤.	⿰月司
䏤T	⿰⺼司
䏥.	⿰月冉.
䏥T	⿰⺼冉.
䏦.	⿰月舌.
䏦T	⿰⺼舌.
䏧.	⿰月多
䏧T	⿰⺼多
䏨.	⿰月𠂤
䏨T	⿰⺼𠂤
䏩.	⿰月合.
䏩T	⿰⺼合.
䏪.	⿰月耳.
䏪T	⿰⺼耳.
䏫.	⿰月休
䏫T	⿰⺼休
䏬.	⿰月牟
䏬T	⿰⺼牟
䏭H	⿰⺼朱
䏭K	⿰月朱
䏮	⿰月⿱力⿰冫⿱丿丶
䏯.	⿰月志
䏯T	⿰⺼志
䏰.	⿰月忍.
䏰H	⿰⺼忍.
䏰K	⿰月忍J
䏱.	⿰月局
䏱T	⿰⺼局
䏲.	⿰月弟
䏲H	⿰⺼弟
䏳.	⿰月折
䏳T	⿰⺼折
䏴.	⿰月肖.
䏴K	⿰月肖K
䏴T	⿰⺼肖T
䏵.	⿰月尨.
䏵T	⿰⺼尨H
䏶.	⿰月坒.
䏶T	⿰⺼坒H
䏷.	⿰月旱
䏷T	⿰⺼旱
䏸.	⿰月吾
䏸T	⿰⺼吾
䏹.	⿰月見.
䏹T	⿰⺼見.
䏺.	⿰⺼夆
䏺T	⿰月夆
䏻.	⿰䏍.去
䏻T	⿰䏍T去
䏼.	⿰月戔
䏼T	⿰⺼戔
䏽.	⿰月咅.
䏽K	⿰月咅J
䏽T	⿰⺼咅.
䏾.	⿰月奉
䏾T	⿰⺼奉
䏿.	⿱𢼄.冃
䏿K	⿱⿰戶攵.冃
䏿T	⿱⿰戶攵.⺼
䐀.	⿰月奇
䐀T	⿰⺼奇
䐁.	⿰月豖.
䐁H	⿰⺼豖H
䐁K	⿰月豖H
䐂H	⿰⺼彔H
䐃.	⿰月囷.
䐃K	⿰月囷J
䐃T	⿰⺼囷.
䐄.	⿰月臽.
䐄T	⿰⺼臽.
䐅.	⿰月𡱁.
䐅T	⿰⺼𡱁T
䐆	⿰月采.
䐇.	⿰月曶
䐇T	⿰⺼曶
䐈.	⿰月直.
䐈J	⿰月直J
䐈T	⿰⺼直.
䐉.	⿰月甾
䐉T	⿰⺼甾
䐊.	⿰⺼昆.
䐊T	⿰⺼昆H
䐋.	⿰月忩.
䐋K	{䐋}⿰月忩T
䐋T	⿰⺼忩T
䐌J	⿳曲八.月
䐍.	⿰月壴.
䐍T	⿰⺼壴.
䐎.	⿰月是
䐎T	⿰⺼是
䐏.	⿰月春.
䐏T	⿰⺼春.
䐏V	⿰月春J
䐐.	⿰月秋.
䐐T	⿰⺼秋.
䐑.	⿰月枼.
䐑T	⿰⺼枼T
䐒.	⿰月奓
䐒T	⿰⺼奓
䐓.	⿰月頁
䐓H	⿰⺼頁
䐔.	⿰月扁.
䐔T	⿰⺼扁T
䐕.	⿰月咠.
䐕T	⿰⺼咠.
䐖.	⿰月屎.
䐖T	⿰⺼屎T
䐗.	⿰月者.
䐗J	⿰月者K
䐗T	⿰⺼者K
䐘.	⿰月爰.
䐘T	⿰⺼爰.
䐙.	⿰月革
䐙T	⿰⺼革
䐚.	⿰月即
䐚T	⿰⺼即
䐛.	⿰月耷.
䐛T	⿰⺼耷.
䐜.	⿰月真.
䐜J	⿰月眞.
䐜T	⿰⺼真.
䐝.	⿰月𧴪.
䐝T	⿰⺼𧴪.
䐞.	⿰月弱.
䐞K	⿰月弱K
䐞T	⿰⺼弱.
䐟.	⿰月冓
䐟T	⿰⺼冓
䐠T	⿰⺼荒T
䐡	⿳亠.⿲刀丫⿸!卬乀肉
䐢.	⿰月芻
䐢T	⿰⺼芻
䐣.	⿰月員
䐣T	⿰⺼員
䐤.	⿰月差.
䐤J	⿰月差H
䐤T	⿰⺼差H
䐥.	⿰月翁.
䐥H	⿰⺼翁.
䐥K	⿰月翁K
䐥T	⿰⺼翁T
䐦.	⿰月盍
䐦T	⿰⺼盍
䐧.	⿰月高.
䐧K	⿰月高J
䐧T	⿰⺼高.
䐨.	⿰⿱士.𣍟.殳.
䐨T	⿰⿳士.冖⿱一⺼殳.
䐩.	⿰月豈.
䐩T	⿰⺼豈.
䐪	⿰月隽.
䐫.	⿰月從
䐫T	⿰⺼從
䐬.	⿰月曹
䐬T	⿰⺼曹
䐭.	⿰月帶.
䐭H	⿰⺼帶H
䐮.	⿰月産.
䐮T	⿰⺼産.
䐯.	⿰月累.
䐯T	⿰⺼累.
䐰.	⿰月脩.
䐰T	⿰⺼脩.
䐱.	⿰月啇.
䐱T	⿰⺼啇.
䐲.	⿰月習.
䐲K	⿰月習K
䐲T	⿰⺼習H
䐳.	⿰月魚
䐳T	⿰⺼魚
䐴.	⿱既.冃
䐴K	⿱⿰皀.旡.冃
䐴T	⿱既.⺼
䐵.	⿰月黄
䐵T	⿰⺼黃T
䐶.	⿰月朁.
䐶T	⿰⺼朁.
䐷.	⿰月單
䐷T	⿰⺼單
䐸.	⿰月畫
䐸T	⿰⺼畫
䐺.	⿰月覃.
䐺T	⿰⺼覃.
䐻.	⿰月辜.
䐻T	⿰⺼辜.
䐼.	⿰月絜.
䐼T	⿰⺼絜T
䐽K	⿰月㒼H
䐽T	⿰⺼㒼H
䐾.	⿰月睪
䐾T	⿰⺼睪
䐿.	⿰月奥.
䐿T	⿰⺼奧T
䑀.	⿰月辟.
䑀K	⿰月辟J
䑀T	⿰⺼辟.
䑁.	⿱𦥯冃
䑁T	⿱𦥯⺼
䑂.	⿰月與.
䑂T	⿰⺼與T
䑃.	⿰⺼蒙.
䑃K	{䑃}⿰月蒙.
䑃T	⿰⺼蒙H
䑄.	⿰月鼻.
䑄K	⿰月鼻J
䑄T	⿰⺼鼻.
䑅.	⿰月夢.
䑅T	⿰⺼夢H
䑇.	⿰月質
䑇T	⿰⺼質
䑈.	⿰月樂.
䑈T	⿰⺼樂T
䑉.	⿰月嬴.
䑉T	⿰⺼嬴T
䑊.	⿰月遺.
䑊T	⿰⺼遺H
䑋.	⿰月襄.
䑋K	⿰月襄J
䑋T	⿰⺼襄.
䑍.	⿰月嬰
䑍T	⿰⺼嬰
䑎.	⿰月韱
䑎T	⿰⺼韱
䑐.	⿰臣尔
䑐T	⿰臣尓
䑑.	⿰臣菐.
䑑T	⿰臣菐T
䑒	⿰至t刄.
䑓	⿳⿵卄二冖至.
䑔.	⿰臼巿
䑔K	⿰臼市J
䑕	⿱臼𠂡
䑖	⿰臼疌
䑗	⿰臼昜
䑘.	⿰臼差.
䑘T	⿰臼差H
䑙.	⿰舌.冄
䑙T	⿰舌T冄
䑚.	⿰舌.月
䑚T	⿰舌T月
䑛.	⿰舌.氐.
䑛J	⿰舌.氐H
䑛T	⿰舌T氐H
䑜.	⿰舌.枼.
䑜T	⿰舌T枼T
䑝	⿳吅冖舛
䑞	⿱⿷匚.炎d舛
䑟	⿰舜皇
䑠.	⿰舟..y了
䑠T	⿰舟.t.了
䑡.	⿰舟..y叉
䑡T	⿰舟.t.叉
䑢.	⿰舟..y兀.
䑢T	⿰舟.t.兀.
䑣.	⿰舟..y彡
䑣T	⿰舟.t.彡
䑤.	⿰舟..y今.
䑤K	⿰舟.t.今J
䑤T	⿰舟.t.今H
䑥.	⿰舟..y及.
䑥K	⿰舟st.及T
䑥T	⿰舟.t.及T
䑦.	⿰舟..y句
䑦T	⿰舟.t.句
䑧.	⿰舟..y付
䑧J	⿰舟st.付
䑧T	⿰舟.t.付
䑨.	⿰舟..y㐌.
䑨J	⿰舟st.㐌.
䑨T	⿰舟.t.㐌T
䑩	⿰舟..y古
䑪.	⿰舟..y合.
䑪T	⿰舟.t.合.
䑫.	⿰舟..y并
䑫T	⿰舟.t.并
䑬.	⿰舟..y兆.
䑬K	⿰舟st.兆.
䑬T	⿰舟.t.兆.
䑭.	⿰舟..y江
䑭J	⿰舟st.江
䑭T	⿰舟.t.江
䑮	⿰舟..y朶.
䑯.	⿰舟..y弟
䑯K	⿰舟st.弟
䑯T	⿰舟.t.弟
䑰.	⿰舟..y步.
䑰T	⿰舟.t.步.
䑱.	⿰舟..y宛.
䑱T	⿰舟.t.宛.
䑲.	⿰舟..y卓
䑲K	⿰舟st.卓
䑲T	⿰舟.t.卓
䑳.	⿰舟..y侖
䑳T	⿰舟.t.侖
䑴.	⿰舟..y其.
䑴T	⿰舟.t.其.
䑵.	⿰舟..y冐.
䑵T	⿰舟.t.⿱⺜月
䑶.	⿰舟..y青.
䑶J	⿰舟st.靑.
䑶T	⿰舟.t.青T
䑷	⿰舟..y肩.
䑸.	⿰舟..y宗.
䑸K	⿰舟st.宗J
䑹.	⿰舟..y叜.
䑹T	⿰舟.t.叜.
䑺.	⿰舟..y風.
䑺H	⿰舟.t.風H
䑺J	⿰舟st.風.
䑻.	⿰舟..y斿.
䑻T	⿰舟.t.斿.
䑼.	⿰舟..y芻
䑼T	⿰舟.t.芻
䑽.	⿰舟..y𦐇.
䑾	⿰舟..y隻.
䑿.	⿰舟..y宿.
䑿T	⿰舟.t.宿.
䒀.	⿰舟..y符
䒀T	⿰舟.t.符
䒁.	⿰舟..y習.
䒁T	⿰舟.t.習H
䒂.	⿰舟..y將.
䒂T	⿰舟.t.將T
䒃.	⿰舟..y造.
䒃T	⿰舟.t.造H
䒄.	⿰舟..y冨
䒄K	⿰舟st.冨
䒄T	⿰舟.t.冨
䒅.	⿰舟..y眷.
䒅T	⿰舟.t.眷.
䒆.	⿲舟..y育.攵.
䒆T	⿲舟.t.育T攵.
䒇	⿰舟..y富.
䒈.	⿰舟..y賁
䒈T	⿰舟.t.賁
䒉.	⿰舟..y舞
䒉T	⿰舟.t.舞
䒌.	⿰冥.色.
䒍	⿰旁.色.
䒐.	⿰瞢.色.
䒐T	⿰瞢H色.
䒑.	⿱丷一
䒑t	⿱丷㇀
䒒.	⿱艹.刁
䒒T	⿱艹H刁
䒓.	⿱艹.丂
䒓T	⿱艹H丂
䒔.	⿱艹.八.
䒔J	⿱艹.八T
䒔T	⿱艹H八T
䒕.	⿱艹.小.
䒕T	⿱艹H小.
䒖.	⿱艹.卂.
䒖T	⿱艹H卂T
䒗.	⿱艹.乞
䒗T	⿱艹H乞
䒘.	⿱艹.夊.
䒘T	⿱艹H夊.
䒙	⿱艹.上
䒚.	⿱艹.少.
䒚T	⿱艹H少.
䒛.	⿱艹.幻.
䒛T	⿱艹H幻.
䒜.	⿱艹.牛.
䒜T	⿱艹H牛.
䒝.	⿱艹.爻.
䒝T	⿱艹H爻.
䒞.	⿱艹.冘.
䒞T	⿱艹H冘.
䒟.	⿱艹.丹
䒟H	⿱艹H丹
䒠.	⿱艹.丰.
䒠H	⿱艹H丰H
