!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
㒼	⿱廿⿻丨⿵冂𠓜
㒽	⿱⺜卷
㒾	⿱⺜施
㒿	⿱⺜離
㓀	⿱冖卜
㓁	⿱冖儿
㓂	⿱冖⿺元女
㓃	⿱冖託
㓅	⿰冫丁
㓆	⿰冫仑
㓇	⿰冫夭
㓈	⿰冫石
㓉	⿰冫舌
㓊	⿰冫同
㓋	⿰冫共
㓌	⿰冫全
㓍	⿰冫充
㓎	⿰冫𠬶
㓏	⿰冫冏
㓐	⿰冫坴
㓑	⿰冫幸
㓓	⿰冫南
㓔	⿰冫射
㓕	⿰冫烕
㓖	⿰冫畢
㓗	⿰冫絜
㓘	⿵夙玉[.] ⿵𠘨⿳一⿴𠂊⺀玉[T]
㓙	⿶凵文
㓚	⿰工刂
㓛	⿰工刀
㓜	⿰幺刀
㓝	⿰井刂
㓞	⿰丰刀
㓟	⿰皮刂
㓠	⿰占刂
㓡	⿰缶刂
㓢	⿰各刂
㓣	⿰合刂
㓤	⿰吉刂
㓥	⿰当刂
㓦	⿰百刂
㓩	⿰角刂
㓪	⿰⿱丶⿸⿴巳一丶刀
㓫	⿰⿱大开刂
㓬	⿰券刂
㓭	⿰曷刂
㓮	⿰周刂
㓯	⿰甾刂
㓰	⿰画刂
㓲	⿰扁刂
㓳	⿺是刂
㓵	⿰咢刂
㓷	⿰臬刂
㓸	⿰𠁁刂
㓹	⿰⿸厂炎刂
㓽	⿰崇刂
㓾	⿰犀刂
㓿	⿰⿳禾人水刂
