!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
邌	⿺辶黎
邍	⿺辶⿱备录
邎	⿺辶䌛[.,T] ⿺辶⿰⿱⿴𠂊⺀言系[J]
邏	⿺辶羅[.,H,J] ⿺辶⿱罒⿰糹隹[V]
邐	⿺辶麗
邑	⿱口巴
邒	⿰丁阝
邓	⿰又阝
邔	⿰己阝
邕	⿱巛邑
邖	⿰山阝
邗	⿰干阝
邘	⿰于阝
邙	⿰亡阝[.,H,K] ⿰⿱丨匚阝[J]
邚	⿰女阝
邛	⿰工阝
邜	⿰夕阝
邝	⿰广阝
邞	⿰麩阝
邟	⿰亢阝
邠	⿰分阝
邡	⿰方阝
邢	⿰开阝
那	⿰𭃂阝
邤	⿰斤阝
邥	⿰冘阝
邧	⿰元阝
邩	⿰火阝
邪	⿰牙阝
邭	⿰句阝
邮	⿰由阝
邯	⿰甘阝
邰	⿰台阝
邱	⿰丘阝
邲	⿰必阝
邳	⿰丕阝
邴	⿰丙阝
邵	⿰召阝
邶	⿰北阝
邷	⿰瓦阝
邸	⿰氐阝
邹	⿰刍阝
邺	⿰业阝
邼	⿰匡阝
邽	⿰圭阝
邿	⿰寺阝
郁	⿰有阝
郂	⿰亥阝
郃	⿰合阝
郄	⿰𠫤阝
郅	⿰至阝
郆	⿰吉阝
郇	⿰旬阝
郈	⿰后阝
郉	⿰幵阝
郋	⿰自阝
郌	⿰圭邑
郍	⿰舟阝
郎	⿰⿱一⿸⿴巳一丶阝[V] ⿰⿱丨⿸⿴巳一丶阝[J] ⿰⿱丶⿸⿴巳一丶阝[.]
郒	⿰⿱丶⿸⿴巳一丶邑
郔	⿰延阝
郕	⿰成阝
郗	⿰希阝
郘	⿰吕阝[.] ⿰呂阝[H]
郙	⿰甫阝
郚	⿰吾阝
郜	⿰吿阝[H] ⿰告阝[.]
郝	⿰赤阝
郠	⿰更阝
郡	⿰君阝
郢	⿰呈阝
郤	⿰⿱仌口阝[J] ⿰谷阝[.]
郥	⿰貝阝
郦	⿰丽阝
郧	⿰员阝
部	⿰咅阝
郩	⿰肴阝
郪	⿰妻阝
郫	⿰卑阝
郬	⿰青阝
郮	⿰周阝
郯	⿰炎阝
郱	⿰并阝
郲	⿰來阝
郳	⿰兒阝
郴	⿰木䢶
郶	⿰咅邑
郷	⿲{⿸}⿱{⿸}⿱𡿨𠃋丿⿸⿴巳一丶阝[J] ⿲乡⿸⿴巳一丶阝[.]
郸	⿰单阝
郹	⿰狊阝
郺	⿰多邕
郻	⿰𥄉阝
郼	⿰韋阝
都	⿰者阝
郾	⿰匽阝
郿	⿰眉阝
鄀	⿰若阝
鄁	⿰背阝
鄂	⿰咢阝
鄃	⿰兪阝
鄅	⿰禹阝
鄆	⿰軍阝
鄇	⿰侯阝
鄈	⿰癸阝
鄉	⿰乡郎
鄊	⿰乡耶
鄋	⿰⿱⿶臼丨又阝
鄌	⿰唐阝
鄍	⿰冥阝
鄎	⿰息阝
鄏	⿰⿸辰寸阝[.] ⿰辱阝[H]
鄐	⿰畜阝
鄑	⿰晉阝[H] ⿰晋阝[.]
鄒	⿰芻阝
鄓	⿰臭阝
鄔	⿰烏阝
鄕	⿲乡皀阝
鄖	⿰員阝
鄗	⿰高阝
鄘	⿰庸阝
鄙	⿰啚阝
鄚	⿰莫阝
鄜	⿰鹿阝
鄟	⿰專阝
鄠	⿰雩阝
鄡	⿰梟阝
鄢	⿰焉阝
鄣	⿰章阝
鄤	⿰曼阝
鄥	⿰鳥阝
鄦	⿰無阝
鄨	⿱敝邑
鄩	⿰尋阝
鄪	⿰費阝
鄫	⿰曾阝
鄬	⿰爲阝[.,K] ⿰為阝[H]
鄭	⿰奠阝
鄮	⿰⿱卯貝阝[J] ⿰貿阝[.]
鄯	⿰善阝
鄰	⿰粦阝
鄱	⿰番阝
鄲	⿰單阝
鄳	⿰黽阝[.,H] ⿰⿻!黽𦥑阝[K]
鄴	⿰業阝
鄶	⿰會阝
鄸	⿰夢阝
鄺	⿰廣阝
鄻	⿰輦阝
鄼	⿰賛阝
鄽	⿰廛阝
鄿	⿰蕇阝
酀	⿰燕阝
酁	⿰毚阝
酂	⿰赞阝
酃	⿰霝阝
酄	⿰雚阝
酅	⿰巂阝[.,H] ⿰⿱崔冏阝[K]
酇	⿰贊阝
酈	⿰麗阝
酉	⿱一⿴{:-1}⿻儿口一
酊	⿰酉丁
酋	⿱丷酉[.] ⿱八酉[J]
酌	⿰酉勺
配	⿰酉己
酎	⿰酉寸
酏	⿰酉也
酐	⿰酉干
酑	⿰酉于
酒	⿰氵酉
酓	⿱今酉
酔	⿰酉卆
酕	⿰酉毛
酖	⿰酉冘
酗	⿰酉凶
酘	⿰酉殳
酙	⿰酉斗
酚	⿰酉分
酛	⿰酉元
酜	⿰酉夫
酝	⿰酉云
酞	⿰酉太
酟	⿰酉占
酠	⿰酉可
酡	⿰酉它
酢	⿰酉乍
酣	⿰酉甘
酤	⿰酉古
酥	⿰酉禾
酦	⿰酉发
酧	⿰酉守
酨	⿹𢦏酉
酩	⿰酉名
酪	⿰酉各
酫	⿰酉全
酬	⿰酉州
酭	⿰酉有
酮	⿰酉同
酯	⿰酉旨
酰	⿰酉先
酱	⿱⿰丬夕酉
酲	⿰酉呈
酳	⿰酉⿱幺冃[.,J] ⿰酉⿱幺⺼[T]
酴	⿰酉余
酵	⿰酉孝
酶	⿰酉每
酷	⿰酉告[.,J] ⿰酉吿[H]
酸	⿰酉夋
酹	⿰酉寽
酺	⿰酉甫
酻	⿰酉孚
酼	⿰酉㐬
酽	⿰酉严
酾	⿰酉丽
酿	⿰酉良
醀	⿰酉隹
醁	⿰酉彔
醂	⿰酉林
醃	⿰酉奄
醄	⿰酉匋
醅	⿰酉咅
醆	⿰酉戔
醇	⿰酉享
醈	⿰酉炎
醉	⿰酉卒
醊	⿰酉叕
醋	⿰酉昔
醌	⿰酉昆
醍	⿰酉是
醎	⿰酉咸
醏	⿰酉者
醐	⿰酉胡
醑	⿰酉胥
醒	⿰酉星
醓	⿰酉⿱冘皿
醔	⿱秋酉
醕	⿰酉亯
醖	⿰酉昷
醗	⿰酉発
醘	⿰酉盍
醙	⿰酉叟
醚	⿰酉迷
醛	⿰酉荃
醜	⿰酉鬼
醝	⿰酉差
醞	⿰酉𥁕
醟	⿱𤇾酉
醠	⿰酉盎
醡	⿰酉窄
醢	⿰酉𥁓
醣	⿰酉唐
醤	⿱将酉
醥	⿰酉票
醦	⿰酉參
醧	⿰酉區
醨	⿰酉离
醩	⿰酉曹
醪	⿰酉翏
醫	⿱⿰医殳酉[J] ⿱殹酉[.]
醬	⿱將酉
醭	⿰酉菐
醮	⿰酉焦
醯	⿰酉⿱㐬皿[.,J] ⿰酉⿳𠫓𫶧皿[T]
醰	⿰酉覃
醲	⿰酉農
醳	⿰酉睪
醴	⿰酉豊
醵	⿰酉豦
醷	⿰酉意
醸	⿰酉㐮
醹	⿰酉需
醺	⿰酉熏
醻	⿰酉壽
醼	⿰酉燕
醽	⿰酉霝
醾	⿰酉糜
醿	⿰酉縻
釀	⿰酉襄
釁	⿳⿲⿸!丘二⿵ㄇ𬼽⿹𠃍二冖⿱酉分[H,T] ⿳⿲⿸!丘二同⿹𠃍二冖⿱酉分[.,K] ⿳⿲⿸!丘二⿵ㄇ⿱一コ⿹𠃍二冖⿱酉分[J]
釂	⿰酉爵
釃	⿰酉麗
釄	⿰酉靡
釅	⿰酉嚴
釆	⿱丿米
采	⿱爫木
釈	⿰釆尺
釉	⿰釆由
释	⿰釆𠬤
釋	⿰釆睪
里	⿱⿻甲一㇀[t] ⿱⿻甲一一[.]
重	⿱丿⿻丄亘
野	⿰里予
量	⿱旦里
金	⿱人⿻王丷
釒	{釒}⿱人⿻王丷
釓	⿰金乚
釔	⿰金乙
釕	⿰金了
釖	⿰金刀
釗	⿰金刂
釘	⿰金丁
釙	⿰金卜
釚	⿰金九
釛	⿰金力
釜	⿱父⿻王丷
針	⿰金十
釞	⿰金入
釟	⿰金八
釠	⿰金几
釡	⿱八金
釢	⿰金乃
釣	⿰金勺
釤	⿰金彡
釥	⿰金小
釦	⿰金口
釧	⿰金川
釨	⿰金子
釩	⿰金凡
釪	⿰金于
釫	⿰金亏
釬	⿰金干
釭	⿰金工
釮	⿰金才
釯	⿰金亡[.,K,T,V] ⿰金⿱丨匚[J]
釰	⿰金刃
釱	⿰金大
釲	⿰金巳
釳	⿰金乞
釴	⿰金弋
釵	⿰金叉
釶	⿰金也
釷	⿰金土
釸	⿰金夕
釹	⿰金女
釺	⿰金千
釻	⿰金丸
釼	⿰金刄
釽	⿰金爪
釾	⿰金牙
釿	⿰金斤
鈀	⿰金巴
鈁	⿰金方
鈂	⿰金冘
鈃	⿰金开
鈄	⿰金斗
鈅	⿰金月
鈆	⿰金公
鈇	⿰金夫
鈈	⿰金不
鈉	⿰金内
鈊	⿰金心
鈋	⿰金化
鈌	⿰金夬
鈍	⿰金屯
鈎	⿰金勾
鈏	⿰金引
鈐	⿰金今
鈑	⿰金反
鈒	⿰金及
鈓	⿰金壬
鈔	⿰金少
鈕	⿰金丑
鈖	⿰金分
鈗	⿰金允
鈘	⿰金支
鈙	⿰金攴
鈚	⿰金比
鈛	⿰金戈
鈜	⿰金厷
鈝	⿰金牛
鈞	⿰金匀[.,J] ⿰金勻[H]
鈟	⿰金弔
鈠	⿰金殳
鈡	⿰金中
鈢	⿰金木
鈣	⿰金丐
鈤	⿰金日
鈥	⿰金火
鈦	⿰金太
鈧	⿰金亢
鈨	⿰金元
鈩	⿰金户[.] ⿰金戸[J]
鈪	⿰金厄
鈫	⿰金文
鈬	⿰金尺
鈭	⿱此金
鈮	⿰金尼
鈯	⿰金出
鈰	⿰金市
鈱	⿰金民
鈲	⿰金瓜
鈳	⿰金可
鈴	⿰金令
鈵	⿰金丙
鈶	⿰金台
鈷	⿰金古
鈸	⿰金犮
鈹	⿰金皮
鈺	⿰金玉
鈻	⿰金㠯
鈼	⿰金乍
鈽	⿰金布
鈾	⿰金由
鈿	⿰金田
鉀	⿰金甲
鉁	⿰金㐱
鉂	⿰金史
鉃	⿰金矢
鉄	⿰金失
鉅	⿰金巨
鉆	⿰金占
鉇	⿰金㐌
鉈	⿰金它
鉉	⿰金玄
鉊	⿰金召
鉋	⿰金包
鉌	⿰金禾
鉍	⿰金必
鉎	⿰金生
鉏	⿰金且
鉐	⿰金石
鉑	⿰金白
鉒	⿰金⿱亠土[K] ⿰金主[.]
鉓	⿰金⿱𠂉巾
鉔	⿰金匝
鉕	⿰金⿷匸口[T] ⿰金叵[.]
鉖	⿰金冬
鉗	⿰金甘
鉘	⿰金弗
鉙	⿰金只
鉚	⿰金卯
鉛	⿰金⿱儿口[H] ⿰金⿱几口[K] ⿰金⿱𠘧口[.] ⿰金㕣[J]
鉜	⿰金付
鉝	⿰金立
鉞	⿰金戉
鉟	⿰金丕
鉠	⿰金央
鉡	⿰金半
鉢	⿰金本
鉣	⿰金去
鉤	⿰金句
鉥	⿰金朮[H,J] ⿰金术[.]
鉦	⿰金正
鉧	⿰金母
鉨	⿰金尔
鉩	⿰金尒
鉪	⿰金世
鉫	⿰金加
鉬	⿰金目
鉭	⿰金旦
鉮	⿰金申
鉯	⿰金以
鉰	⿰金司
鉱	⿰金広
鉲	⿰金卡
鉳	⿰金北
鉴	⿱⿰〢⿱𠂉丶金[.] ⿱⿲丨丿⿱𠂉一金[T]
鉵	⿰金虫
鉶	⿰金刑
鉷	⿰金共
鉸	⿰金交
鉹	⿰金多
鉺	⿰金耳
鉻	⿰金各
鉼	⿰金并[.] ⿰金幷[K]
鉽	⿰金式
鉾	⿰金牟
鉿	⿰金合
銀	⿰金艮
銁	⿰金旬
銂	⿰金州
銃	⿰金充
銄	⿰金向
銅	⿰金同
銆	⿰金百
銇	⿰金耒
銈	⿰金圭
銉	⿰金聿
銊	⿰金戌
銋	⿰金任
銌	⿰金存
銍	⿰金至
銎	⿱巩金[.,T] ⿱⿰工⿹⺄⿻丨丶金[H]
銏	⿰金冊[H] ⿰金册[.]
銐	⿱列金
銑	⿰金先
銒	⿰金幵
銓	⿰金全
銔	⿰金㔻
銕	⿰金夷
銖	⿰金朱
銗	⿰金后
銘	⿰金名
銙	⿰金夸
銚	⿰金兆
銛	⿰金舌
銜	⿲彳金亍
銝	⿰金休
銞	⿱旬金
銟	⿰金⿱山巾
銠	⿰金老
銡	⿰金吉
銢	⿰金⿱一𣱳
銣	⿰金如
銤	⿰金米
銥	⿰金衣
銦	⿰金因
銧	⿰金光
銨	⿰金安
銩	⿰金丟[H] ⿰金丢[.]
銪	⿰金有
銫	⿰金色
銬	⿰金考
銭	⿰金㦮
銮	⿱亦金[H] ⿳亠⿰丿小金[T] ⿳亠⿰川丶金[.]
銯	⿰金糸
銰	⿰金艾
銱	⿰金吊
銲	⿰金旱
銳	⿰金兌
銴	⿱折金
銵	⿰金身
銶	⿰金求
銷	⿰金肖
銸	⿰金耴[T] ⿸鉺乚[.]
銹	⿰金秀
銺	⿱壯金
銻	⿰金弟
銼	⿰金坐
銽	⿰金𠯑
銾	⿰金汞
銿	⿰金甬
鋀	⿰金豆
鋁	⿰金吕[.] ⿰金呂[H]
鋂	⿰金每
鋃	⿰金良
鋅	⿰金辛
鋆	⿱均金
鋇	⿰金貝
鋈	⿱沃金
鋉	⿰金束
鋊	⿰金谷
鋋	⿰金延
鋌	⿰金廷
鋍	⿰金孛
鋎	⿰金完
鋐	⿰金宏
鋑	⿰金夋
鋒	⿰金夆
鋓	⿰金利
鋔	⿰金免
鋕	⿰金志
鋖	⿰金妥
鋗	⿰金肙
鋘	⿰金吳[H,J] ⿰金吴[.]
鋙	⿰金吾
鋛	⿰金串
鋜	⿰金足
鋝	⿰金寽
鋞	⿰金巠
鋟	⿰金𠬶
鋠	⿰金辰
鋡	⿰金含
鋢	⿰金孚
鋣	⿰金邪
鋤	⿰金助
鋥	⿰金呈
鋦	⿰金局
鋧	⿰金見
鋨	⿰金我
鋩	⿰金芒[.,H,K] ⿰金⿱艹亡[J]
鋪	⿰金甫
鋫	⿱利金
鋭	⿰金兑
鋮	⿰金成
鋯	⿰金吿[H] ⿰金告[.]
鋰	⿰金里
鋱	⿰金忒
鋲	⿰金兵
鋳	⿰金寿
鋴	⿰金克
鋵	⿰金秃
鋶	⿰金⿱𠫓𫶧[T] ⿰金㐬[.]
鋷	⿰金取
鋸	⿰金居
鋹	⿰金長
鋺	⿰金宛
鋻	⿱臤金
鋼	⿰金岡
鋽	⿰金卓
鋾	⿰金匋
鋿	⿰金尙[J] ⿰金尚[.]
錀	⿰金侖
錁	⿰金果
錂	⿰金夌
錃	⿱波金
錄	⿰金彔
錅	⿱𥝢金
錆	⿰金青[.,T] ⿰金靑[J]
錇	⿰金咅
錈	⿰金卷
錉	⿰金昏
錊	⿰金卒
錋	⿰金朋
錌	⿰金岸
錍	⿰金卑
錎	⿰金臽
錏	⿰金亞
錐	⿰金隹
錑	⿰金戾
錒	⿰金阿
錔	⿰金沓
錕	⿰金昆
錗	⿰金委
錘	⿰金垂
錙	⿰金甾
錚	⿰金爭[H,J] ⿰金争[.]
錛	⿰金奔
錜	⿰金念
錝	⿰金宗
錞	⿰金享
錟	⿰金炎
錠	⿰金定
錡	⿰金奇
錢	⿰金戔
錣	⿰金叕
錤	⿰金其
錥	⿰金育
錦	⿰金帛
錧	⿰金官
錨	⿰金苗
錩	⿰金昌
錪	⿰金典
錫	⿰金易
錬	⿰金東
錭	⿰金周
錮	⿰金固
錯	⿰金昔
錰	⿰金杰
錱	⿱金玨
録	⿰金录
錳	⿰金孟
錴	⿰金坴
錵	⿰金花
錶	⿰金表
錷	⿰金軋
錸	⿰金來
錹	⿰金肯
錺	⿰金芳
錻	⿰金武
錼	⿰金奈
錾	⿱斩金
錿	⿰金虎
鍀	⿰金㝵
鍁	⿰金欣
鍂	⿰金金
鍃	⿰金忽
鍄	⿰金京
鍅	⿰金法
鍆	⿰金門
鍇	⿰金皆
鍈	⿰金英
鍉	⿰金是
鍊	⿰金柬
鍋	⿰金咼
鍌	⿱洗金
鍍	⿰金度
鍎	⿰金盾
鍏	⿰金韋
鍐	⿰金㚇
鍑	⿰金复
鍒	⿰金柔
鍓	⿰金咠
鍔	⿰金咢
鍕	⿰金軍
鍖	⿰金甚
鍗	⿰金帝
鍘	⿰金則
鍙	⿱洪金
鍚	⿰金昜
鍛	⿰金段
鍜	⿰金叚
鍝	⿰金禺
鍞	⿰金貞
鍟	⿰金星
鍠	⿰金皇
鍡	⿰金畏
鍢	⿰金畐
鍣	⿰金苕
鍤	⿰金臿
鍥	⿰金契
鍦	⿰金施
鍧	⿰金訇
鍨	⿰金癸
鍩	⿰金若
鍪	⿱敄金
鍫	⿱秋金
鍬	⿰金秋
鍭	⿰金侯
鍮	⿰金俞[.,T] ⿰金兪[J,K]
鍯	⿰金怱
鍰	⿰金爰
鍱	⿰金枼
鍲	⿰金昬
鍳	⿱⿰臣⿱𠂉一金[H] ⿱⿰臣⿱𠂉丶金[.]
鍴	⿰金耑
鍵	⿰金建
鍶	⿰金思
鍷	⿰金奎
鍸	⿰金胡
鍹	⿰金宣
鍺	⿰金者
鍻	⿰金曷
鍼	⿰金咸
鍽	⿰金扁
鍾	⿰金重
鍿	⿰金⿱𡿧田
鎀	⿰金修
鎁	⿰金耶
鎂	⿰金美
鎃	⿰金派
鎄	⿰金哀
鎅	⿰金界
鎆	⿰金前
鎇	⿰金眉
鎈	⿰金差
鎉	⿰金𦐇[.,T] ⿰金⿱⺜羽[K]
鎊	⿰金旁
鎋	⿰金害[.,K,T] ⿰金⿳宀丰口[J]
鎌	⿰金⿱⿰丿丿⿻卄⿱⿻コ一八[K] ⿰金兼[.]
鎍	⿰金索
鎎	⿰金氣
鎏	⿱流金
鎐	⿰金䍃
鎑	⿰金盍
鎒	⿰金辱
鎓	⿰金翁
鎔	⿰金容
鎕	⿰金唐
鎖	⿰金𧴪
鎗	⿰金倉
鎘	⿰金鬲
鎙	⿰金朔
鎚	⿰金追
鎛	⿰金尃
鎝	⿰金荅
鎞	⿰金𣬉
鎠	⿰金罡
鎡	⿰金⿱䒑𢆶[J] ⿰金茲[H]
鎢	⿰金烏
鎣	⿱𤇾金
鎤	⿰金晃
鎥	⿱條金
鎦	⿰金留
鎧	⿰金豈
鎨	⿰金隼
鎩	⿰金殺
鎪	⿰金叟
鎫	⿰金⿳丿罓⿱儿夊[T] ⿰金⿳丿罓⿱八夂[.] ⿰金⿳丿𠕀⿱儿夂[J]
鎬	⿰金高
鎭	⿰金眞
鎮	⿰金真
鎯	⿰金郎
鎰	⿰金益[.,J] ⿰金⿳丷兀皿[V]
鎱	⿰金袁
鎲	⿰金党
鎳	⿰金臬
鎴	⿰金息
鎵	⿰金家
鎶	⿰金哥
鎷	⿰金馬
鎸	⿰金隽
鎺	⿰金祖
鎻	⿰金𧴲
鎼	⿰金⿸虍手
鎽	⿰金峯
鎾	⿰金昷
鎿	⿰金⿸虍拿[T] ⿰金拿[.]
鏀	⿰金鹵
鏁	⿰金巢
鏂	⿰金區
鏃	⿰金族
鏄	⿰金專
鏅	⿰金脩
鏆	⿰金貫
鏇	⿰金旋
鏈	⿰金連
鏊	⿱敖金
鏋	⿰金㒼
鏌	⿰金莫
鏍	⿰金累
鏎	⿰金畢
鏏	⿰金彗
鏐	⿰金翏
鏑	⿰金啇
鏒	⿰金參
鏓	⿰金悤[.,J] ⿰金⿱囪心[T]
鏔	⿰金寅
鏕	⿰金鹿
鏖	⿸鹿金[.,J] ⿱鹿金[H]
鏗	⿰金⿱臤土[V] ⿰金堅[.]
鏘	⿰金將
鏙	⿰金崔
鏚	⿰金戚
鏛	⿰金常
鏜	⿰金堂
鏝	⿰金曼
鏞	⿰金庸
鏟	⿰金⿱文⿸厂生[J] ⿰金產[H] ⿰金産[.]
鏠	⿰金逢
鏡	⿰金竟
鏢	⿰金票
鏣	⿰金庶
鏤	⿰金婁
鏥	⿰金宿
鏦	⿰金從
鏧	⿱殸金
鏨	⿱斬金
鏩	⿰金斬
鏪	⿰金曹
鏫	⿰金梨
鏬	⿰金虖
鏭	⿰金悉
鏮	⿰金康
鏯	⿰金爽
鏰	⿰金崩
鏱	⿰金章
鏲	⿰金牽
鏳	⿰金曾
鏴	⿰金路
鏵	⿰金華
鏶	⿰金集
鏷	⿰金菐
鏸	⿰金惠
鏹	⿰金強[H] ⿰金强[.]
鏻	⿰金粦
鏼	⿰金策
鏾	⿰金散
鏿	⿰金棠
鐀	⿰金貴
鐁	⿰金斯
鐃	⿰金堯
鐄	⿰金黃[H,T] ⿰金黄[.]
鐇	⿰金番
鐈	⿰金喬
鐉	⿰金巽
鐊	⿰金陽
鐋	⿰金湯
鐌	⿰金象
鐍	⿰金矞
鐎	⿰金焦
鐏	⿰金尊
鐐	⿰金尞
鐑	⿰金結
鐒	⿰金勞
鐔	⿰金覃
鐕	⿰金朁
鐖	⿰金幾
鐗	⿰金閒
鐘	⿰金童
鐙	⿰金登
鐚	⿰金惡
鐛	⿰金景
鐝	⿰金厥
鐞	⿰金尋
鐟	⿰金替
鐠	⿰金普
鐣	⿰金掌
鐤	⿰金鼎
鐥	⿰金善
鐦	⿰金開
鐧	⿰金間
鐨	⿰金費
鐩	⿰金遂
鐪	⿰金虜
鐫	⿰金雋
鐬	⿰金歲
鐭	⿰金奥[.] ⿰金奧[H]
鐮	⿰金廉
鐯	⿰金著[.,H,K] ⿰金⿱艹者[J]
鐰	⿰金喿
鐲	⿰金蜀
鐳	⿰金雷
鐴	⿰金辟
鐶	⿰金睘
鐷	⿰金葉
鐸	⿰金睪
鐹	⿰金過
鐺	⿰金當
鐻	⿰金豦
鐼	⿰金⿱十𦮷[K] ⿰金賁[.]
鐽	⿰金達
鐾	⿱辟金
鐿	⿰金意
鑀	⿰金愛
鑁	⿰金⿳𠚍儿夂[J] ⿰金𡕰[.]
鑂	⿰金熏
鑃	⿰金翟
鑄	⿰金壽
鑅	⿰金榮
鑇	⿰金齊
鑈	⿰金爾
鑉	⿰金蓋
鑊	⿰金蒦
鑋	⿱輕金
鑌	⿰金賓
鑍	⿱賏金
鑎	⿰金匱
鑏	⿰金寧
鑐	⿰金需
鑑	⿰金監
鑒	⿱⿰臣⿳𠂉一罒金[H] ⿱⿰臣⿳𠂉丶罒金[.]
鑓	⿰金遣
鑔	⿰金察
鑕	⿰金質
鑖	⿰金蔑
鑗	⿰金黎
鑘	⿰金畾
鑙	⿰金⿱𮂱旨
鑚	⿰金賛
鑛	⿰金廣
鑜	⿰金賞
鑝	⿰金蓬
鑞	⿰金⿳巛囚⿲𠄌二⿲𠄌二㇂[T] ⿰金巤[.]
鑟	⿰金賣[.] ⿰金𧶠[J]
鑠	⿰金樂
鑡	⿰金齒
鑢	⿰金慮
鑣	⿰金麃
鑤	⿰金暴
鑥	⿰金魯
鑦	⿰金賢
鑧	⿰金寬
鑨	⿰金龍
鑩	⿰金噩
鑪	⿰金盧
鑫	⿱金鍂
鑬	⿰金覧
鑭	⿰金闌
鑮	⿰金薄
鑯	⿰金韱
鑰	⿰金龠
鑱	⿰金毚
鑲	⿰金襄
鑳	⿰金蹇
鑴	⿰金巂[.,H] ⿰金⿱崔冏[K]
鑵	⿰金雚
鑶	⿰金藏
鑷	⿰金聶
鑸	⿰金壘
鑹	⿰金竄
鑺	⿰金瞿
鑼	⿰金羅
鑽	⿰金贊
鑾	⿱䜌金
钀	⿰金獻
钁	⿰金矍
钂	⿰金黨
钃	⿰金屬
钅	⿳𠂉一七
钆	⿰钅乚
钇	⿰钅乙
针	⿰钅十
钉	⿰钅丁
钊	⿰钅刂
钋	⿰钅卜
钌	⿰钅了
钍	⿰钅土
钎	⿰钅千
钏	⿰钅川
钐	⿰钅彡
钑	⿰钅及
钒	⿰钅凡
钓	⿰钅勺
钔	⿰钅门
钕	⿰钅女
钖	⿰钅𠃓
钗	⿰钅叉
钘	⿰钅开
钙	⿰钅丐
钚	⿰钅不
钛	⿰钅太
钜	⿰钅巨
钝	⿰钅屯
钞	⿰钅少
钟	⿰钅中
钠	⿰钅内
钡	⿰钅贝
钢	⿰钅冈
钣	⿰钅反
钤	⿰钅今
钥	⿰钅月
钦	⿰钅欠
钧	⿰钅匀
钨	⿰钅乌
钩	⿰钅勾
钪	⿰钅亢
钫	⿰钅方
钬	⿰钅火
钭	⿰钅斗
钮	⿰钅丑
钯	⿰钅巴
钰	⿰钅玉
钱	⿰钅戋
钲	⿰钅正
钳	⿰钅甘
钴	⿰钅古
钵	⿰钅本
钶	⿰钅可
钷	⿰钅叵
钸	⿰钅布
钹	⿰钅犮
钺	⿰钅戉
钻	⿰钅占
钼	⿰钅目
钽	⿰钅旦
钾	⿰钅甲
钿	⿰钅田
铀	⿰钅由
铁	⿰钅失
铂	⿰钅白
铃	⿰钅令
铄	⿰钅乐
铅	⿰钅⿱𠘧口
铆	⿰钅卯
铇	⿰钅包
铈	⿰钅市
铉	⿰钅玄
铊	⿰钅它
铋	⿰钅必
铌	⿰钅尼
铍	⿰钅皮
铎	⿰钅𠬤
铏	⿰钅刑
铐	⿰钅考
铑	⿰钅老
铒	⿰钅耳
铓	⿰钅芒
铔	⿰钅亚
铕	⿰钅有
铖	⿰钅成
铗	⿰钅夹
铘	⿰钅邪
铙	⿰钅尧
铚	⿰钅至
铛	⿰钅当
铜	⿰钅同
铝	⿰钅吕
铞	⿰钅吊
铟	⿰钅因
铠	⿰钅岂
铡	⿰钅则
铢	⿰钅朱
铣	⿰钅先
铤	⿰钅廷
铥	⿰钅丢
铦	⿰钅舌
铧	⿰钅华
铨	⿰钅全
铩	⿰钅杀
铪	⿰钅合
铫	⿰钅兆
铬	⿰钅各
铭	⿰钅名
铮	⿰钅争
铯	⿰钅色
铰	⿰钅交
铱	⿰钅衣
铲	⿰钅产
铳	⿰钅充
铴	⿰钅汤
铵	⿰钅安
银	⿰钅艮
铷	⿰钅如
铸	⿰钅寿
铹	⿰钅劳
铺	⿰钅甫
铻	⿰钅吾
铼	⿰钅来
铽	⿰钅忒
链	⿰钅连
铿	⿰钅坚
销	⿰钅肖
锁	⿰钅𭕆
锂	⿰钅里
锃	⿰钅呈
锄	⿰钅助
锅	⿰钅呙
锆	⿰钅告
锇	⿰钅我
锈	⿰钅秀
锉	⿰钅坐
锊	⿰钅寽
锋	⿰钅夆
锌	⿰钅辛
锍	⿰钅㐬
锎	⿰钅𫔭
锏	⿰钅间
锐	⿰钅兑
锑	⿰钅弟
锒	⿰钅良
锔	⿰钅局
锕	⿰钅阿
锖	⿰钅青
锗	⿰钅者
锘	⿰钅若
错	⿰钅昔
锚	⿰钅苗
锛	⿰钅奔
锜	⿰钅奇
锝	⿰钅㝵
锞	⿰钅果
锟	⿰钅昆
锠	⿰钅昌
锡	⿰钅易
锢	⿰钅固
锣	⿰钅罗
锤	⿰钅垂
锥	⿰钅隹
锦	⿰钅帛
锧	⿰钅质
锨	⿰钅欣
锩	⿰钅卷
